,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,54.5,-1352.26001713,-1352.26011643,-1352.18553273,-195.558762406434,-195.819474516384
,55,-1352.26002993,-1352.26012928,-1352.18553273,-195.59236880111,-195.853212186443
,55.5,-1352.2600425,-1352.2601419,-1352.18553273,-195.625371331294,-195.886345991412
,56,-1352.26005485,-1352.2601543,-1352.18553273,-195.657796251108,-195.918902186609
,56.5,-1352.26006697,-1352.26016648,-1352.18553273,-195.68961730643,-195.950880771435
,57,-1352.26007889,-1352.26017844,-1352.18553273,-195.720913261416,-195.982281746489
,57.5,-1352.2600906,-1352.2601902,-1352.18553273,-195.751657861944,-196.013157621802
,58,-1352.26010211,-1352.26020175,-1352.18553273,-195.781877362136,-196.043482142658
,58.5,-1352.26011342,-1352.26021311,-1352.18553273,-195.811571762587,-196.073307817895
,59,-1352.26012454,-1352.26022427,-1352.18553273,-195.840767318615,-196.102608393393
,59.5,-1352.26013547,-1352.26023528,-1352.18553273,-195.869464029024,-196.131515143937
,60,-1352.26014622,-1352.26024607,-1352.18553273,-195.897688149727,-196.159844284708
,60.5,-1352.26015679,-1352.26025669,-1352.18553273,-195.925439680725,-196.187727090491
,61,-1352.26016719,-1352.26026713,-1352.18553273,-195.952744876138,-196.215137306568
,61.5,-1352.26017742,-1352.26027744,-1352.18553273,-195.97960373716,-196.242206207128
,62,-1352.26018749,-1352.26028755,-1352.18553273,-196.006042517913,-196.268750007948
,62.5,-1352.26019739,-1352.26029749,-1352.18553273,-196.032034964276,-196.294847474378
,63,-1352.26020714,-1352.26030728,-1352.18553273,-196.057633585087,-196.320551115257
,63.5,-1352.26021674,-1352.26031692,-1352.18553273,-196.082838381542,-196.345860931182
,64,-1352.26022618,-1352.2603264,-1352.18553273,-196.107623097727,-196.370750667434
,64.5,-1352.26023548,-1352.26033574,-1352.18553273,-196.132040243677,-196.395272834048
,65,-1352.26024464,-1352.26034494,-1352.18553273,-196.156089820585,-196.419427430427
,65.5,-1352.26025366,-1352.26035402,-1352.18553273,-196.17977182666,-196.443266966603
,66,-1352.26026254,-1352.26036293,-1352.18553273,-196.203086263097,-196.466660167792
,66.5,-1352.26027128,-1352.26037171,-1352.18553273,-196.226033129895,-196.489712054658
,67,-1352.2602799,-1352.26038037,-1352.18553273,-196.248664935895,-196.512448880724
,67.5,-1352.26028839,-1352.26038889,-1352.18553273,-196.270955427571,-196.534818137749
,68,-1352.26029675,-1352.26039729,-1352.18553273,-196.292904604327,-196.556872333975
,68.5,-1352.26030499,-1352.26040557,-1352.18553273,-196.31453872088,-196.578611471194
,69,-1352.26031312,-1352.26041372,-1352.18553273,-196.335884033145,-196.600009292894
,69.5,-1352.26032112,-1352.26042177,-1352.18553273,-196.356888029892,-196.621144564427
,70,-1352.26032902,-1352.2604297,-1352.18553273,-196.37762947647,-196.641964776355
,70.5,-1352.2603368,-1352.26043751,-1352.18553273,-196.398055863444,-196.66246992808
,71,-1352.26034447,-1352.26044521,-1352.18553273,-196.418193445531,-196.68268627492
,71.5,-1352.26035203,-1352.26045281,-1352.18553273,-196.438042222135,-196.702640072187
,72,-1352.26035949,-1352.2604603,-1352.18553273,-196.457628449167,-196.722305063972
,72.5,-1352.26036685,-1352.26046769,-1352.18553273,-196.476952126628,-196.741707506184
,73,-1352.2603741,-1352.26047497,-1352.18553273,-196.495986998605,-196.760821142914
,73.5,-1352.26038126,-1352.26048216,-1352.18553273,-196.514785575729,-196.779698485387
,74,-1352.26038832,-1352.26048925,-1352.18553273,-196.533321602686,-196.798313277692
,74.5,-1352.26039528,-1352.26049624,-1352.18553273,-196.55159508007,-196.816665519829
,75,-1352.26040216,-1352.26050315,-1352.18553273,-196.56965851732,-196.834807721831
,75.5,-1352.26040894,-1352.26050996,-1352.18553273,-196.587459404402,-196.852687374262
,76,-1352.26041563,-1352.26051668,-1352.18553273,-196.605023996631,-196.870330731243
,76.5,-1352.26042224,-1352.26052331,-1352.18553273,-196.622378549323,-196.887737793968
,77,-1352.26042876,-1352.26052986,-1352.18553273,-196.639496806564,-196.904934815961
,77.5,-1352.26043519,-1352.26053632,-1352.18553273,-196.656378768952,-196.921895543698
,78,-1352.26044155,-1352.2605427,-1352.18553273,-196.673076946521,-196.938646231301
,78.355,-1352.26044601,-1352.26054718,-1352.18553273,-196.684786674475,-196.950408469288
,78.5,-1352.26044782,-1352.260549,-1352.18553273,-196.689538829237,-196.955186878769
,79,-1352.26045401,-1352.26055522,-1352.18553273,-196.705790671819,-196.971517486103
,79.5,-1352.26046015,-1352.26056136,-1352.18553273,-196.721911239018,-196.987638053898
,80,-1352.26046619,-1352.26056742,-1352.18553273,-196.737769256645,-197.003548580963
