System,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,45.5,-424.804794006,-424.804820663,-424.71228582,-242.880205339809,-242.950193282589
,46,-424.804816649,-424.80484332,-424.71228582,-242.939654527162,-243.009679226995
,46.5,-424.804838805,-424.80486549,-424.71228582,-242.997825096299,-243.067886553186
,47,-424.80486049,-424.804887189,-424.71228582,-243.054759055219,-243.12485726901
,47.5,-424.804881719,-424.804908432,-424.71228582,-243.110495786147,-243.180630756991
,48,-424.804902507,-424.804929232,-424.71228582,-243.165074671908,-243.235241148713
,48.5,-424.804922866,-424.804949604,-424.71228582,-243.218527218312,-243.288727826549
,49,-424.804942809,-424.804969561,-424.71228582,-243.270887556793,-243.341124922083
,49.5,-424.804962351,-424.804989114,-424.71228582,-243.322195069875,-243.392461315803
,50,-424.804981501,-424.805008277,-424.71228582,-243.372473387252,-243.442773764612
,50.5,-424.805000273,-424.805027061,-424.71228582,-243.421759265829,-243.492091149
,51,-424.805018677,-424.805045476,-424.71228582,-243.470078960473,-243.540439724133
,51.5,-424.805036724,-424.805063535,-424.71228582,-243.517461351673,-243.587853621443
,52,-424.805054424,-424.805081246,-424.71228582,-243.563932694595,-243.634353844854
,52.5,-424.805071788,-424.805098621,-424.71228582,-243.609521869728,-243.679971900475
,53,-424.805088824,-424.805115667,-424.71228582,-243.654249880846,-243.72472616661
,53.5,-424.805105541,-424.805132396,-424.71228582,-243.698140357643,-243.768648149368
,54,-424.80512195,-424.805148815,-424.71228582,-243.741222180609,-243.811756227351
,54.5,-424.805138057,-424.805164932,-424.71228582,-243.783511102724,-243.854071404482
,55,-424.805153872,-424.805180757,-424.71228582,-243.825033378854,-243.895619935629
,55.5,-424.805169402,-424.805196298,-424.71228582,-243.865807387602,-243.936422824866
,56,-424.805184655,-424.80521156,-424.71228582,-243.90585413304,-243.9764931997
,56.5,-424.805199638,-424.805226552,-424.71228582,-243.945191993472,-244.015854689825
,57,-424.805214359,-424.805241283,-424.71228582,-243.983841973119,-244.05453092434
,57.5,-424.805228824,-424.805255757,-424.71228582,-244.021819824813,-244.09253240558
,58,-424.805243039,-424.805269981,-424.71228582,-244.059141301684,-244.129877511846
,58.5,-424.805257012,-424.805283963,-424.71228582,-244.095827407654,-244.166587247362
,59,-424.805270748,-424.805297708,-424.71228582,-244.131891270085,-244.202674739337
,59.5,-424.805284253,-424.805311222,-424.71228582,-244.167348642253,-244.238155740901
,60,-424.805297534,-424.805324511,-424.71228582,-244.202217902313,-244.273046005034
,60.5,-424.805310595,-424.80533758,-424.71228582,-244.236509552599,-244.307358659393
,61,-424.805323442,-424.805350435,-424.71228582,-244.270239345944,-244.341109456662
,61.5,-424.80533608,-424.805363081,-424.71228582,-244.303420410003,-244.374311524645
,62,-424.805348515,-424.805375524,-424.71228582,-244.33606849746,-244.406980616176
,62.5,-424.80536075,-424.805387768,-424.71228582,-244.368191485029,-244.439127233289
,63,-424.805372792,-424.805399816,-424.71228582,-244.399807751309,-244.470759252401
,63.5,-424.805384644,-424.805411676,-424.71228582,-244.430925172569,-244.501897677733
,64,-424.805396311,-424.805423351,-424.71228582,-244.461556876315,-244.532550385553
,64.5,-424.805407798,-424.805434845,-424.71228582,-244.491715990207,-244.562727877896
,65,-424.805419108,-424.805446162,-424.71228582,-244.521410390808,-244.59244065695
,65.5,-424.805430245,-424.805457306,-424.71228582,-244.550650579856,-244.62169922445
,66,-424.805441213,-424.805468282,-424.71228582,-244.579447059389,-244.650516708056
,66.5,-424.805452017,-424.805479092,-424.71228582,-244.607812957064,-244.678898358711
,67,-424.805462659,-424.805489742,-424.71228582,-244.635753523825,-244.706859929545
,67.5,-424.805473144,-424.805500233,-424.71228582,-244.663281887179,-244.73440404573
,68,-424.805483475,-424.805510571,-424.71228582,-244.690405923543,-244.761546460696
,68.5,-424.805493655,-424.805520757,-424.71228582,-244.717133509481,-244.788289799614
,69,-424.805503688,-424.805530796,-424.71228582,-244.743475146881,-244.814647190143
,69.5,-424.805513577,-424.805540691,-424.71228582,-244.769438712456,-244.840626508549
,70,-424.805523324,-424.805550445,-424.71228582,-244.795029457001,-244.866235631696
,70.5,-424.805532933,-424.80556006,-424.71228582,-244.820257882702,-244.891479810377
,71,-424.805542407,-424.80556954,-424.71228582,-244.845131865975,-244.91636954663
,71.5,-424.805551748,-424.805578887,-424.71228582,-244.869656657762,-244.940910091398
,72,-424.80556096,-424.805588104,-424.71228582,-244.893842759952,-244.965109321096
,72.5,-424.805570045,-424.805597195,-424.71228582,-244.917695423935,-244.988977738059
,73,-424.805579005,-424.805606161,-424.71228582,-244.941219900357,-245.012517967462
,73.5,-424.805587843,-424.805615006,-424.71228582,-244.964424065783,-245.03574051134
,74,-424.805596563,-424.80562373,-424.71228582,-244.987318422249,-245.058645369842
,74.5,-424.805605165,-424.805632337,-424.71228582,-245.009902969756,-245.081243045006
,75,-424.805613652,-424.805640831,-424.71228582,-245.032185584867,-245.10354403857
,75.5,-424.805622028,-424.805649211,-424.71228582,-245.05417676962,-245.12554572521
,76,-424.805630293,-424.805657482,-424.71228582,-245.075876523716,-245.147261232436
,76.5,-424.80563845,-424.805665644,-424.71228582,-245.097292724018,-245.168690560097
,77,-424.805646501,-424.805673701,-424.71228582,-245.118430621321,-245.18984421038
,77.5,-424.805654448,-424.805681653,-424.71228582,-245.139295466568,-245.210722183285
,78,-424.805662294,-424.805689504,-424.71228582,-245.159895136474,-245.23133498055
,78.355,-424.805667803,-424.805695017,-424.71228582,-245.174359013783,-245.245809359895
,78.5,-424.805670039,-424.805697254,-424.71228582,-245.180229630889,-245.251682602473
,79,-424.805677687,-424.805704907,-424.71228582,-245.200309451849,-245.271775550942
,79.5,-424.805685239,-424.805712463,-424.71228582,-245.220137224828,-245.291613825957
,80,-424.805692696,-424.805719925,-424.71228582,-245.239715575295,-245.311205303933
