,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,38.5,-1828.01267294,-1828.01311695,-1827.94228247,-184.810150828531,-185.975898906288
,39,-1828.0126986,-1828.01314308,-1827.94228247,-184.87752114858,-186.044503210636
,39.5,-1828.01272361,-1828.01316857,-1827.94228247,-184.943184893432,-186.111427195698
,40,-1828.01274799,-1828.01319341,-1827.94228247,-185.007194573715,-186.176644605561
,40.5,-1828.01277178,-1828.01321765,-1827.94228247,-185.069655209498,-186.240286715609
,41,-1828.01279499,-1828.0132413,-1827.94228247,-185.130593054902,-186.302379781156
,41.5,-1828.01281764,-1828.01326438,-1827.94228247,-185.190060621154,-186.362976312237
,42,-1828.01283976,-1828.01328692,-1827.94228247,-185.248136671813,-186.422155073006
,42.5,-1828.01286136,-1828.01330893,-1827.94228247,-185.304847463388,-186.479942319376
,43,-1828.01288246,-1828.01333043,-1827.94228247,-185.360245504719,-186.536390560782
,43.5,-1828.01290307,-1828.01335144,-1827.94228247,-185.414357051718,-186.59155230726
,44,-1828.01292322,-1828.01337197,-1827.94228247,-185.467260868539,-186.645453814124
,44.5,-1828.01294292,-1828.01339205,-1827.94228247,-185.518983210498,-186.698173846126
,45,-1828.01296218,-1828.01341168,-1827.94228247,-185.569550332912,-186.749712403266
,45.5,-1828.01298103,-1828.01343088,-1827.94228247,-185.61904100053,-186.800121995578
,46,-1828.01299946,-1828.01344967,-1827.94228247,-185.667428958039,-186.849455133096
,46.5,-1828.0130175,-1828.01346805,-1827.94228247,-185.714792970787,-186.897711815819
,47,-1828.01303516,-1828.01348604,-1827.94228247,-185.761159294089,-186.944944553781
,47.5,-1828.01305244,-1828.01350366,-1827.94228247,-185.806527926752,-186.991205856419
,48,-1828.01306936,-1828.01352092,-1827.94228247,-185.850951380004,-187.036521979646
,48.5,-1828.01308594,-1828.01353782,-1827.94228247,-185.894482163877,-187.080892922863
,49,-1828.01310219,-1828.01355437,-1827.94228247,-185.937146531896,-187.124344941387
,49.5,-1828.0131181,-1828.0135706,-1827.94228247,-185.978918230537,-187.16695679997
,50,-1828.0131337,-1828.0135865,-1827.94228247,-186.019876024552,-187.208702243296
,50.5,-1828.013149,-1828.01360208,-1827.94228247,-186.060046168658,-187.249607527277
