,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,40,-761.221502184,-761.221513756,-761.132815227,-232.84757012855,-232.877952410084
,40.5,-761.221530397,-761.221541978,-761.132815227,-232.921643348933,-232.952049259714
,41,-761.221557923,-761.221569513,-761.132815227,-232.993912850765,-233.024342391091
,41.5,-761.221584785,-761.221596384,-761.132815227,-233.064439021091,-233.094892190962
,42,-761.221611009,-761.221622616,-761.132815227,-233.133290122477,-233.163764296422
,42.5,-761.221636617,-761.221648232,-761.132815227,-233.200523916201,-233.231019094218
,43,-761.221661629,-761.221673253,-761.132815227,-233.266192912294,-233.296711719558
,43.5,-761.221686067,-761.221697699,-761.132815227,-233.330354871436,-233.360894682773
,44,-761.22170995,-761.221721589,-761.132815227,-233.393059678488,-233.423617868426
,44.5,-761.221733298,-761.221744944,-761.132815227,-233.454359843183,-233.484936411425
,45,-761.221756126,-761.22176778,-761.132815227,-233.5142947479,-233.544892320512
,45.5,-761.221778454,-761.221790115,-761.132815227,-233.572916902968,-233.603532853884
,46,-761.221800296,-761.221811964,-761.132815227,-233.630263065294,-233.660897394811
,46.5,-761.221821669,-761.221833344,-761.132815227,-233.686377868196,-233.717030576016
,47,-761.221842588,-761.22185427,-761.132815227,-233.741300694349,-233.77197178077
,47.5,-761.221863067,-761.221874755,-761.132815227,-233.795068300657,-233.825755140207
,48,-761.22188312,-761.221894815,-761.132815227,-233.847717444322,-233.878422662176
,48.5,-761.221902759,-761.22191446,-761.132815227,-233.899279631008,-233.930000601692
,49,-761.221921998,-761.221933706,-761.132815227,-233.949791617617,-233.980530966902
,49.5,-761.221940849,-761.221952563,-761.132815227,-233.999284910707,-234.030040012824
,50,-761.221959323,-761.221971043,-761.132815227,-234.047788390171,-234.078559245715
,50.5,-761.221977431,-761.221989157,-761.132815227,-234.095330937093,-234.126117545468
,51,-761.221995185,-761.222006916,-761.132815227,-234.141944056837,-234.17274379287
,51.5,-761.222012594,-761.222024331,-761.132815227,-234.187651379545,-234.218466868111
,52,-761.222029669,-761.222041412,-761.132815227,-234.23248178511,-234.263313026805
,52.5,-761.222046419,-761.222058167,-761.132815227,-234.276458903373,-234.307303272726
,53,-761.222062853,-761.222074606,-761.132815227,-234.319606363881,-234.350463860593
,53.5,-761.22207898,-761.222090739,-761.132815227,-234.36194779588,-234.392821045722
,54,-761.222094809,-761.222106573,-761.132815227,-234.403506829213,-234.434393206414
,54.5,-761.222110347,-761.222122116,-761.132815227,-234.444301841885,-234.475201346743
,55,-761.222125604,-761.222137377,-761.132815227,-234.48435908921,-234.515269095956
,55.5,-761.222140585,-761.222152364,-761.132815227,-234.523691698847,-234.554617458424
,56,-761.222155299,-761.222167083,-761.132815227,-234.562323299744,-234.593262187277
,56.5,-761.222169753,-761.222181542,-761.132815227,-234.600272271099,-234.631224285991
,57,-761.222183954,-761.222195747,-761.132815227,-234.637556990916,-234.668519507696
,57.5,-761.222197908,-761.222209705,-761.132815227,-234.674193212325,-234.705166230992
,58,-761.222211621,-761.222223423,-761.132815227,-234.710196688455,-234.741182834481
,58.5,-761.222225101,-761.222236907,-761.132815227,-234.745588423081,-234.776585071293
,59,-761.222238351,-761.222250162,-761.132815227,-234.780376292619,-234.811386068488
,59.5,-761.22225138,-761.222263194,-761.132815227,-234.814583926911,-234.845601579196
