$\mathrm{BF_4^-}$:
  Model: rational
  Fit: y = -248.408 + 248.456/(x + 0.012)
  R² = 0.999999
----------------------------------------
$\mathrm{ClO_4^-}$:
  Model: rational
  Fit: y = -238.867 + 239.628/(x + 0.014)
  R² = 0.999999
----------------------------------------
$\mathrm{FSI^-}$:
  Model: rational
  Fit: y = -199.503 + 201.290/(x + 0.033)
  R² = 0.999998
----------------------------------------
$\mathrm{Li^+}$:
  Model: rational
  Fit: y = -515.407 + 515.409/(x + 0.000)
  R² = 1.000000
----------------------------------------
$\mathrm{PF_6^-}$:
  Model: rational
  Fit: y = -227.982 + 232.768/(x + 0.047)
  R² = 0.999995
----------------------------------------
$\mathrm{TFSI^-}$:
  Model: rational
  Fit: y = -190.692 + 206.142/(x + 0.143)
  R² = 0.999698
----------------------------------------
2.000    -119.840
2.500    -143.597
3.000    -159.423
3.500    -170.728
4.000    -179.211
4.500    -185.812
5.000    -191.096
5.500    -195.421
6.000    -199.028
6.500    -202.081
7.000    -204.699
7.500    -206.969
8.000    -208.956
8.500    -210.711
9.000    -212.270
9.500    -213.666
10.000    -214.923
10.500    -216.060
11.000    -217.095
11.500    -218.039
12.000    -218.905
12.500    -219.702
13.000    -220.438
13.500    -221.119
14.000    -221.752
14.500    -222.342
15.000    -222.892
15.500    -223.406
16.000    -223.889
16.500    -224.342
17.000    -224.769
17.500    -225.172
18.000    -225.552
18.500    -225.911
19.000    -226.252
19.500    -226.575
20.000    -226.882
20.500    -227.175
21.000    -227.453
21.500    -227.718
22.000    -227.972
22.500    -228.214
23.000    -228.445
23.500    -228.667
24.000    -228.880
24.500    -229.084
25.000    -229.279
25.500    -229.467
26.000    -229.648
26.500    -229.822
27.000    -229.990
27.500    -230.151
28.000    -230.307
28.500    -230.457
29.000    -230.602
29.500    -230.743
30.000    -230.878
30.500    -231.009
31.000    -231.136
31.500    -231.259
32.000    -231.378
32.500    -231.493
33.000    -231.605
33.500    -231.714
34.000    -231.819
34.500    -231.921
35.000    -232.021
35.500    -232.117
36.000    -232.211
36.500    -232.303
37.000    -232.391
37.500    -232.478
38.000    -232.562
38.500    -232.644
39.000    -232.724
39.500    -232.802
40.000    -232.878
40.500    -232.952
41.000    -233.024
41.500    -233.095
42.000    -233.164
42.500    -233.231
43.000    -233.297
43.500    -233.361
44.000    -233.424
44.500    -233.485
45.000    -233.545
45.500    -233.604
46.000    -233.661
46.500    -233.717
47.000    -233.772
47.500    -233.826
48.000    -233.878
48.500    -233.930
49.000    -233.981
49.500    -234.030
50.000    -234.079
50.500    -234.126
51.000    -234.173
51.500    -234.218
52.000    -234.263
52.500    -234.307
53.000    -234.350
53.500    -234.393
54.000    -234.434
54.500    -234.475
55.000    -234.515
55.500    -234.555
56.000    -234.593
56.500    -234.631
57.000    -234.669
57.500    -234.705
58.000    -234.741
58.500    -234.777
59.000    -234.811
59.500    -234.846
60.000    -234.879
60.500    -234.912
61.000    -234.945
61.500    -234.977
62.000    -235.008
62.500    -235.039
63.000    -235.070
63.500    -235.100
64.000    -235.130
64.500    -235.159
65.000    -235.187
65.500    -235.215
66.000    -235.243
66.500    -235.271
67.000    -235.298
67.500    -235.324
68.000    -235.350
68.500    -235.376
69.000    -235.402
69.500    -235.427
70.000    -235.451
70.500    -235.476
71.000    -235.500
71.500    -235.523
72.000    -235.547
72.500    -235.570
73.000    -235.592
73.500    -235.615
74.000    -235.637
74.500    -235.659
75.000    -235.680
75.500    -235.701
76.000    -235.722
76.500    -235.743
77.000    -235.763
77.500    -235.784
78.000    -235.803
78.355    -235.817
78.500    -235.823
79.000    -235.842
79.500    -235.862
80.000    -235.880
