#time,msd
0.0,0.0
4.0,89591.33958987391
8.0,109103.78740396566
12.0,119709.52031107346
16.0,128373.41990985378
20.0,138967.3531595401
24.0,148159.1250599876
28.0,155463.4486542908
32.0,163317.94904841742
36.0,172002.1643454576
40.0,177760.93902568897
44.0,183619.01401941894
48.0,191888.29021185136
52.0,196967.01719172747
56.0,201357.6596401452
60.0,207709.58486335687
64.0,214530.4605992157
68.0,218619.3356365519
72.0,222293.9396969164
76.0,228122.02440986497
80.0,230320.6078418222
84.0,233930.55841085035
88.0,236907.6263244887
92.0,239277.15715989572
96.0,245022.90642735714
100.0,248447.8985122234
104.0,252579.31768302727
108.0,253242.05954656558
112.0,255407.89390499966
116.0,259142.1956888622
120.0,259420.74479894788
124.0,263728.24945337325
128.0,264546.5171909562
132.0,267202.8898977969
136.0,269914.7397066795
140.0,275196.9836389567
144.0,275395.19444629166
148.0,277074.0190472063
152.0,278876.44201906404
156.0,279937.1537482926
160.0,283288.8522123264
164.0,282724.69105875044
168.0,284382.29962115176
172.0,286908.7850926595
176.0,287185.6263943872
180.0,291539.5072270315
184.0,292010.06988485006
188.0,293071.6594702201
192.0,294483.90212558146
196.0,295346.3252661162
200.0,299226.17870288366
204.0,300312.06177590473
208.0,301440.95058324153
212.0,301283.4261478062
216.0,303289.711389889
220.0,305855.2895031641
224.0,306182.5738699703
228.0,309430.58922340407
232.0,310342.0066245296
236.0,312563.74954002467
240.0,312674.07676106924
244.0,313301.27926109004
248.0,315082.7588566118
252.0,318335.7769945557
256.0,320207.1432253683
260.0,320811.25775361486
264.0,322648.10261633166
268.0,321772.4629680091
272.0,324116.6285349453
276.0,325649.9304892085
280.0,326382.974112156
284.0,327487.09883035184
288.0,327615.50958236674
292.0,326964.0931925592
296.0,328096.32381235895
300.0,326176.01558992156
304.0,326024.1973759481
308.0,327991.48644447373
312.0,327530.3044558755
316.0,330464.5932785636
320.0,330279.21394863527
324.0,331973.2705627068
328.0,331868.15709834406
332.0,332851.80253331596
336.0,333502.5355247158
340.0,335566.0351232834
344.0,337975.3499722268
348.0,340096.46432037133
352.0,339970.1122522708
356.0,341686.86211271916
360.0,341330.43212752877
364.0,342015.9215439176
368.0,343383.3861517428
372.0,346051.95389835315
376.0,347053.2666556831
380.0,348037.38637881103
384.0,350300.2727458124
388.0,352209.56592071644
392.0,352809.8427789087
396.0,351824.8359807004
400.0,352578.6299043021
404.0,355419.0758068911
408.0,358128.2369064322
412.0,361845.7315602103
416.0,364646.55178755574
420.0,366309.50261777366
424.0,367795.9107644893
428.0,369373.06517802586
432.0,369549.344188827
436.0,372204.6797055641
440.0,376033.2251671432
