criterion_name,features_used,cluster_id,cluster_size,representative_row_index,representative_doi,mean_conductivity,mean_weighted_permittivity,mean_weighted_viscosity_mPa_s_25C,mean_salt_conc_x_weighted_permittivity,mean_salt_conc_x_weighted_viscosity
weighted_permittivity,weighted_permittivity,1,185,106,10.1016/j.jpowsour.2011.06.030,9.046689114405407,46.084270270270274,1.2465189189189192,51.34339027054595,1.3887046516591892
weighted_permittivity,weighted_permittivity,2,55,3786,10.1149/1.1344281,4.824809453072728,7.207090909090907,0.3996545454545456,3.7379999999999995,0.21174545454545463
weighted_permittivity,weighted_permittivity,3,82,3593,10.1149/1.1344281,5.797640248439025,65.36457317073172,2.5048475609756093,65.36457317073172,2.5048475609756093
weighted_permittivity,weighted_permittivity,4,126,23,10.1016/j.electacta.2008.04.023,6.015269595492064,28.63107142857144,1.0224404761904766,32.309551413300554,1.1536775797180554
weighted_permittivity,weighted_permittivity,5,24,13616,10.1016/0378-7753(91)80004-H,4.645138888916667,77.23833333333334,2.1778333333333335,77.23833333333334,2.1778333333333335
weighted_permittivity,weighted_permittivity,6,23,10873,10.1149/1.1872737,9.181002636768115,32.68982608695651,1.1366695652173908,53.5001356588533,1.8657641730437995
weighted_viscosity,weighted_viscosity_mPa_s_25C,1,187,12002,10.1149/2.0641503jes,9.043801173791444,46.313582887700534,1.250005347593583,51.516455615245995,1.3906703773098934
weighted_viscosity,weighted_viscosity_mPa_s_25C,2,81,3593,10.1149/1.1344281,5.759504119814814,65.39092592592593,2.5171666666666668,65.39092592592593,2.5171666666666668
weighted_viscosity,weighted_viscosity_mPa_s_25C,3,54,3786,10.1149/1.1344281,4.759096047888888,7.1240740740740724,0.3937037037037038,3.59074074074074,0.2023148148148149
weighted_viscosity,weighted_viscosity_mPa_s_25C,4,127,23,10.1016/j.electacta.2008.04.023,6.033837026496063,28.497677165354336,1.0200669291338587,32.14719274075488,1.1502706696415352
weighted_viscosity,weighted_viscosity_mPa_s_25C,5,23,13616,10.1016/0378-7753(91)80004-H,4.470289855086956,77.47391304347828,2.201304347826088,77.47391304347828,2.201304347826088
weighted_viscosity,weighted_viscosity_mPa_s_25C,6,23,10873,10.1149/1.1872737,9.181002636768115,32.68982608695651,1.1366695652173908,53.5001356588533,1.8657641730437995
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",1,157,11909,10.1149/2.0571912jes,9.391234836127389,45.325859872611474,1.2366751592356688,46.26102993930097,1.2684681477863697
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",2,147,13615,10.1016/0378-7753(91)80004-H,5.882032184263038,59.07974149659862,2.067978231292517,69.28901721485751,2.398533820052793
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",3,76,23,10.1016/j.electacta.2008.04.023,5.124020872473683,13.400460526315792,0.5798618421052631,5.389994177992106,0.24848885236594742
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",4,11,11897,10.1149/2.0571912jes,3.7174939189999994,41.11290909090909,1.2059818181818185,127.27187673190825,3.7555769261087177
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",5,104,122,10.1016/j.jpowsour.2011.07.071,6.976713939346154,30.99439423076923,1.0551663461538465,28.472513131228844,0.9862244410019616
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",1,185,106,10.1016/j.jpowsour.2011.06.030,9.046689114405407,46.084270270270274,1.2465189189189192,51.34339027054595,1.3887046516591892
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",2,81,3593,10.1149/1.1344281,5.759504119814814,65.39092592592593,2.5171666666666668,65.39092592592593,2.5171666666666668
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",3,149,23,10.1016/j.electacta.2008.04.023,6.503939796494406,29.25759060402684,1.0400731543624162,35.58058119617111,1.2635969867414927
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",4,55,3786,10.1149/1.1344281,4.824809453072728,7.207090909090907,0.3996545454545456,3.7379999999999995,0.21174545454545463
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",5,23,13616,10.1016/0378-7753(91)80004-H,4.470289855086956,77.47391304347828,2.201304347826088,77.47391304347828,2.201304347826088
weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",6,2,127,10.1016/j.jpowsour.2011.07.071,8.776666667,67.525,1.5724999999999998,67.525,1.5724999999999998
