cluster_id,n_systems,median_q_scale_opt,mean_q_scale_opt,std_q_scale_opt,median_best_abs_error_ms_cm,mean_weighted_permittivity
1,185,0.7,0.7321621621621621,0.05994268708049449,1.8797120616112526,46.084270270270274
2,55,0.75,0.7509090909090909,0.05225552344623225,1.349028120194752,7.207090909090909
3,82,0.85,0.8036585365853659,0.08526664342978796,1.0283182849942811,65.36457317073172
4,126,0.7,0.7257936507936508,0.06024421199887246,2.4449554258415764,28.631071428571428
5,24,0.7,0.7333333333333333,0.06019292654288464,1.5043431000328518,77.23833333333333
6,23,0.8,0.7804347826086956,0.08625955867294127,1.927269834106613,32.68982608695652
