model,n_folds,simplicity_rank,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,beats_baseline
shallow_tree,5,4,0.05174005583880341,0.013909101916004892,0.06638965888685142,0.016452470915257797,-0.010156149122843372,0.25578019792324513,True
mean_baseline,5,0,0.06484517974986248,0.016235186339819557,0.073632575119516,0.01927705462519132,-0.2093940744224292,0.23316517228294298,False
linear_regression,5,1,0.05780958045352138,0.01455617087559118,0.07467836734554668,0.011256105985971553,-0.41513150395950643,0.6879047411467661,False
lasso,5,3,0.06154456337891199,0.01143953437238618,0.07510807085515059,0.015771960637606566,-0.31088950497078344,0.34275788468998086,False
ridge,5,2,0.059064172375342186,0.014191226032257519,0.07628941652337412,0.011181584294500743,-0.4115309789875775,0.5226559568697318,False
