original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi
135,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,5.615527374,4.320146383715105,1.2953809902848947,0.7,46.05,1.245,46.05,1.245,264.2808537,0
136,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,5.77250232,4.433433348119727,1.3390689718802733,0.7,46.05,1.245,46.05,1.245,265.0479431,0
137,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.033096195,4.511075508836642,1.5220206861633576,0.7,46.05,1.245,46.05,1.245,266.1243427,0
138,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.143674606,4.677259848297203,1.4664147577027968,0.7,46.05,1.245,46.05,1.245,267.7977111,0
139,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.196257346,4.716915776504702,1.4793415694952987,0.7,46.05,1.245,46.05,1.245,268.1039282,0
140,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.405041757,4.791365765680636,1.6136759913193641,0.7,46.05,1.245,46.05,1.245,269.0256727,0
141,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.562789978,4.834941180230926,1.7278487977690737,0.7,46.05,1.245,46.05,1.245,269.9443242,0
142,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.670275286,4.964874231607302,1.7054010543926976,0.7,46.05,1.245,46.05,1.245,271.0114445,0
143,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.880606248,5.1531909873189905,1.7274152606810098,0.7,46.05,1.245,46.05,1.245,272.236313,0
144,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,6.98731828,5.227175861843264,1.760142418156736,0.7,46.05,1.245,46.05,1.245,273.1518713,0
145,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.039127745,5.250432158086853,1.7886955869131471,0.7,46.05,1.245,46.05,1.245,273.3065264,0
146,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.091710486,5.293425451369545,1.7982850346304549,0.7,46.05,1.245,46.05,1.245,273.6127436,0
147,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.302041448,5.4550241827529,1.8470172652471,0.7,46.05,1.245,46.05,1.245,274.8376121,0
