original_row_index,doi,q_scale,temperature,anion_name,salt_conc,solvents,solvent_fracs,conductivity,conductivity_mS_cm,conductivity_uncertainty_mS_cm
10878,10.1149/1.1872737,0.80,333.0,PF6,2.240215924,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",15.816490216666667,15.1928,5.3330
10878,10.1149/1.1872737,0.85,333.0,PF6,2.240215924,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",15.816490216666667,9.3742,3.2033
10878,10.1149/1.1872737,0.90,333.0,PF6,2.240215924,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",15.816490216666667,9.0697,2.6914
13646,10.1016/0378-7753(91)80004-H,0.70,353.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",19.35,16.9764,3.6625
13646,10.1016/0378-7753(91)80004-H,0.75,353.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",19.35,21.0011,3.8527
13646,10.1016/0378-7753(91)80004-H,0.80,353.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",19.35,22.1624,4.0187
13646,10.1016/0378-7753(91)80004-H,0.85,353.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",19.35,18.4457,3.0228
13646,10.1016/0378-7753(91)80004-H,0.90,353.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",19.35,13.1352,3.2682
11917,10.1149/2.0571912jes,0.70,323.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",7.98,14.0762,3.7050
11917,10.1149/2.0571912jes,0.75,323.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",7.98,9.3869,2.6785
11917,10.1149/2.0571912jes,0.80,323.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",7.98,7.6131,1.7718
11917,10.1149/2.0571912jes,0.85,323.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",7.98,5.6296,0.7208
11917,10.1149/2.0571912jes,0.90,323.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",7.98,2.7414,0.5428
4363,10.1149/1.1466857,0.70,222.7274648,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,1.1745,0.3842
4363,10.1149/1.1466857,0.75,222.7274648,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,0.9197,0.1671
4363,10.1149/1.1466857,0.80,222.7274648,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,0.6416,0.1054
4363,10.1149/1.1466857,0.85,222.7274648,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,0.3774,0.1387
4363,10.1149/1.1466857,0.90,222.7274648,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.551948052,0.1922,0.0212
10874,10.1149/1.1872737,0.70,333.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,10.9930,1.1162
10874,10.1149/1.1872737,0.75,333.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,13.1501,0.7480
10874,10.1149/1.1872737,0.80,333.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,10.7558,1.5207
10874,10.1149/1.1872737,0.85,333.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,13.1079,3.6720
10874,10.1149/1.1872737,0.90,333.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",12.82483157,12.1148,0.9062
192,10.1016/j.jpowsour.2011.07.071,0.70,354.0952676,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,26.8190,6.5543
192,10.1016/j.jpowsour.2011.07.071,0.75,354.0952676,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,26.6786,3.2805
192,10.1016/j.jpowsour.2011.07.071,0.80,354.0952676,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,26.7504,2.7403
192,10.1016/j.jpowsour.2011.07.071,0.85,354.0952676,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,25.2225,3.1704
192,10.1016/j.jpowsour.2011.07.071,0.90,354.0952676,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",22.55335602,20.9350,2.2735
10901,10.1149/1.1872737,0.70,263.0,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,5.2174,1.1506
10901,10.1149/1.1872737,0.75,263.0,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,3.1362,0.7459
10901,10.1149/1.1872737,0.80,263.0,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,2.1578,0.4588
10901,10.1149/1.1872737,0.85,263.0,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,1.6521,0.4579
10901,10.1149/1.1872737,0.90,263.0,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",2.935514918,1.0038,0.2553
11957,10.1149/2.0571912jes,0.70,323.15,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",11.934,19.8159,2.4570
11957,10.1149/2.0571912jes,0.75,323.15,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",11.934,18.6898,2.4192
11957,10.1149/2.0571912jes,0.80,323.15,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",11.934,13.9230,2.1631
11957,10.1149/2.0571912jes,0.85,323.15,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",11.934,11.9754,3.0846
11957,10.1149/2.0571912jes,0.90,323.15,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",11.934,10.3172,2.0035
13636,10.1016/0378-7753(91)80004-H,0.70,293.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",5.64,,
13636,10.1016/0378-7753(91)80004-H,0.75,293.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",5.64,6.7708,1.3011
13636,10.1016/0378-7753(91)80004-H,0.80,293.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",5.64,5.8259,0.9363
13636,10.1016/0378-7753(91)80004-H,0.85,293.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",5.64,5.2805,0.4815
13636,10.1016/0378-7753(91)80004-H,0.90,293.15,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",5.64,3.2112,0.7007
11886,10.1149/2.0571912jes,0.70,263.15,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",1.824,3.6739,0.8920
11886,10.1149/2.0571912jes,0.75,263.15,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",1.824,1.6789,0.7128
11886,10.1149/2.0571912jes,0.80,263.15,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",1.824,1.3857,0.5299
11886,10.1149/2.0571912jes,0.85,263.15,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",1.824,1.1376,0.3467
11886,10.1149/2.0571912jes,0.90,263.15,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",1.824,0.4956,0.1217
10899,10.1149/1.1872737,0.70,263.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,3.7657,0.6652
10899,10.1149/1.1872737,0.75,263.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,4.3401,0.4492
10899,10.1149/1.1872737,0.80,263.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,4.8129,0.5814
10899,10.1149/1.1872737,0.85,263.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,3.8726,0.3185
10899,10.1149/1.1872737,0.90,263.0,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",4.234841193,2.7801,0.4145
12014,10.1149/2.0641503jes,0.70,283.15,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,5.8070,1.9231
12014,10.1149/2.0641503jes,0.75,283.15,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,5.6803,0.8112
12014,10.1149/2.0641503jes,0.80,283.15,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,5.4405,0.7511
12014,10.1149/2.0641503jes,0.85,283.15,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,4.3456,0.8964
12014,10.1149/2.0641503jes,0.90,283.15,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",3.785824515,3.3234,0.9660
10881,10.1149/1.1872737,0.70,333.0,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,14.4882,3.9824
