original_row_index,doi,q_scale,temperature,anion_name,salt_conc,solvents,solvent_fracs,conductivity,conductivity_mS_cm,conductivity_uncertainty_mS_cm
3812,10.1149/1.1344281,0.70,212.2342837,ClO4,0.5,"[""DME""]",[1.0],0.220060166,7.9347,0.5379
3812,10.1149/1.1344281,0.75,212.2342837,ClO4,0.5,"[""DME""]",[1.0],0.220060166,6.8434,0.6237
3812,10.1149/1.1344281,0.80,212.2342837,ClO4,0.5,"[""DME""]",[1.0],0.220060166,3.6341,0.8511
3812,10.1149/1.1344281,0.85,212.2342837,ClO4,0.5,"[""DME""]",[1.0],0.220060166,1.7046,0.7922
3812,10.1149/1.1344281,0.90,212.2342837,ClO4,0.5,"[""DME""]",[1.0],0.220060166,1.0565,0.7071
3724,10.1149/1.1344281,0.70,393.6420782,ClO4,1.0,"[""PC""]",[1.0],15.11159636,24.8907,3.8656
3724,10.1149/1.1344281,0.75,393.6420782,ClO4,1.0,"[""PC""]",[1.0],15.11159636,24.1896,1.4099
3724,10.1149/1.1344281,0.80,393.6420782,ClO4,1.0,"[""PC""]",[1.0],15.11159636,22.0572,3.3137
3724,10.1149/1.1344281,0.85,393.6420782,ClO4,1.0,"[""PC""]",[1.0],15.11159636,14.9719,5.8124
3724,10.1149/1.1344281,0.90,393.6420782,ClO4,1.0,"[""PC""]",[1.0],15.11159636,7.9202,1.0217
3786,10.1149/1.1344281,0.70,342.1636336,ClO4,0.5,"[""DME""]",[1.0],2.579896064,16.1788,2.5833
3786,10.1149/1.1344281,0.75,342.1636336,ClO4,0.5,"[""DME""]",[1.0],2.579896064,8.1652,1.2613
3786,10.1149/1.1344281,0.80,342.1636336,ClO4,0.5,"[""DME""]",[1.0],2.579896064,0.9527,0.4329
3786,10.1149/1.1344281,0.85,342.1636336,ClO4,0.5,"[""DME""]",[1.0],2.579896064,0.0980,0.0977
3786,10.1149/1.1344281,0.90,342.1636336,ClO4,0.5,"[""DME""]",[1.0],2.579896064,0.0419,0.0104
3760,10.1149/1.1344281,0.70,217.5511705,ClO4,1.0,"[""PC""]",[1.0],0.016360369,0.0779,0.0173
3760,10.1149/1.1344281,0.75,217.5511705,ClO4,1.0,"[""PC""]",[1.0],0.016360369,0.1197,0.0245
3760,10.1149/1.1344281,0.80,217.5511705,ClO4,1.0,"[""PC""]",[1.0],0.016360369,0.0728,0.0357
3760,10.1149/1.1344281,0.85,217.5511705,ClO4,1.0,"[""PC""]",[1.0],0.016360369,0.0440,0.0135
3760,10.1149/1.1344281,0.90,217.5511705,ClO4,1.0,"[""PC""]",[1.0],0.016360369,0.0504,0.0273
3734,10.1149/1.1344281,0.70,345.6484223,ClO4,1.0,"[""PC""]",[1.0],9.091189065,16.8038,3.5409
3734,10.1149/1.1344281,0.75,345.6484223,ClO4,1.0,"[""PC""]",[1.0],9.091189065,13.6825,1.7458
3734,10.1149/1.1344281,0.80,345.6484223,ClO4,1.0,"[""PC""]",[1.0],9.091189065,13.9877,0.4869
3734,10.1149/1.1344281,0.85,345.6484223,ClO4,1.0,"[""PC""]",[1.0],9.091189065,7.9691,0.9211
3734,10.1149/1.1344281,0.90,345.6484223,ClO4,1.0,"[""PC""]",[1.0],9.091189065,4.9337,0.7292
3800,10.1149/1.1344281,0.70,273.3744374,ClO4,0.5,"[""DME""]",[1.0],2.784526666,12.4592,2.4649
3800,10.1149/1.1344281,0.75,273.3744374,ClO4,0.5,"[""DME""]",[1.0],2.784526666,10.6304,2.6595
3800,10.1149/1.1344281,0.80,273.3744374,ClO4,0.5,"[""DME""]",[1.0],2.784526666,3.0595,1.1803
3800,10.1149/1.1344281,0.85,273.3744374,ClO4,0.5,"[""DME""]",[1.0],2.784526666,0.2891,0.2435
3800,10.1149/1.1344281,0.90,273.3744374,ClO4,0.5,"[""DME""]",[1.0],2.784526666,0.0821,0.0264
3751,10.1149/1.1344281,0.70,261.8047361,ClO4,1.0,"[""PC""]",[1.0],1.099966124,1.8547,0.4629
3751,10.1149/1.1344281,0.75,261.8047361,ClO4,1.0,"[""PC""]",[1.0],1.099966124,1.5565,0.3515
3751,10.1149/1.1344281,0.80,261.8047361,ClO4,1.0,"[""PC""]",[1.0],1.099966124,1.6917,0.2073
3751,10.1149/1.1344281,0.85,261.8047361,ClO4,1.0,"[""PC""]",[1.0],1.099966124,1.1404,0.3221
3751,10.1149/1.1344281,0.90,261.8047361,ClO4,1.0,"[""PC""]",[1.0],1.099966124,0.4906,0.0688
3739,10.1149/1.1344281,0.70,321.2048223,ClO4,1.0,"[""PC""]",[1.0],6.309573445,10.2240,1.9815
3739,10.1149/1.1344281,0.75,321.2048223,ClO4,1.0,"[""PC""]",[1.0],6.309573445,11.5753,2.1005
3739,10.1149/1.1344281,0.80,321.2048223,ClO4,1.0,"[""PC""]",[1.0],6.309573445,7.1323,0.8139
3739,10.1149/1.1344281,0.85,321.2048223,ClO4,1.0,"[""PC""]",[1.0],6.309573445,5.7855,1.7710
3739,10.1149/1.1344281,0.90,321.2048223,ClO4,1.0,"[""PC""]",[1.0],6.309573445,3.1563,0.5554
224,10.1016/j.jpowsour.2011.07.071,0.70,292.1342406,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,7.6368,1.7749
224,10.1016/j.jpowsour.2011.07.071,0.75,292.1342406,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,7.8057,1.4357
224,10.1016/j.jpowsour.2011.07.071,0.80,292.1342406,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,7.5838,1.8324
224,10.1016/j.jpowsour.2011.07.071,0.85,292.1342406,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,4.9935,0.6128
224,10.1016/j.jpowsour.2011.07.071,0.90,292.1342406,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",7.696412001,4.2575,1.1752
3838,10.1149/1.1344281,0.70,211.8374067,TFSI,0.5,"[""DME""]",[1.0],2.271713669,4.5888,0.8189
3838,10.1149/1.1344281,0.75,211.8374067,TFSI,0.5,"[""DME""]",[1.0],2.271713669,5.7613,0.6440
3838,10.1149/1.1344281,0.80,211.8374067,TFSI,0.5,"[""DME""]",[1.0],2.271713669,5.5253,1.0714
3838,10.1149/1.1344281,0.85,211.8374067,TFSI,0.5,"[""DME""]",[1.0],2.271713669,4.6920,1.4789
3838,10.1149/1.1344281,0.90,211.8374067,TFSI,0.5,"[""DME""]",[1.0],2.271713669,3.1474,1.1283
3593,10.1149/1.1344281,0.70,375.3490984,TFSI,1.0,"[""PC""]",[1.0],16.88831057,15.7524,5.8573
3593,10.1149/1.1344281,0.75,375.3490984,TFSI,1.0,"[""PC""]",[1.0],16.88831057,18.5263,3.2504
3593,10.1149/1.1344281,0.80,375.3490984,TFSI,1.0,"[""PC""]",[1.0],16.88831057,15.5069,2.9619
3593,10.1149/1.1344281,0.85,375.3490984,TFSI,1.0,"[""PC""]",[1.0],16.88831057,15.2930,5.5898
3593,10.1149/1.1344281,0.90,375.3490984,TFSI,1.0,"[""PC""]",[1.0],16.88831057,12.7515,3.0748
3625,10.1149/1.1344281,0.70,217.6928575,TFSI,1.0,"[""PC""]",[1.0],0.018873918,0.0829,0.0401
3625,10.1149/1.1344281,0.75,217.6928575,TFSI,1.0,"[""PC""]",[1.0],0.018873918,0.0549,0.0242
3625,10.1149/1.1344281,0.80,217.6928575,TFSI,1.0,"[""PC""]",[1.0],0.018873918,0.0633,0.0235
3625,10.1149/1.1344281,0.85,217.6928575,TFSI,1.0,"[""PC""]",[1.0],0.018873918,0.0440,0.0224
3625,10.1149/1.1344281,0.90,217.6928575,TFSI,1.0,"[""PC""]",[1.0],0.018873918,0.0541,0.0264
129,10.1016/j.jpowsour.2011.07.071,0.70,298.0,TFSI,1.0,"[""DMC""]",[1.0],6.993333333,7.1493,1.2399
129,10.1016/j.jpowsour.2011.07.071,0.75,298.0,TFSI,1.0,"[""DMC""]",[1.0],6.993333333,6.6608,0.9523
129,10.1016/j.jpowsour.2011.07.071,0.80,298.0,TFSI,1.0,"[""DMC""]",[1.0],6.993333333,4.9500,1.5583
129,10.1016/j.jpowsour.2011.07.071,0.85,298.0,TFSI,1.0,"[""DMC""]",[1.0],6.993333333,2.6121,0.6512
129,10.1016/j.jpowsour.2011.07.071,0.90,298.0,TFSI,1.0,"[""DMC""]",[1.0],6.993333333,2.0188,0.5798
128,10.1016/j.jpowsour.2011.07.071,0.70,298.0,TFSI,1.0,"[""EC""]",[1.0],7.906666667,6.7415,1.1231
128,10.1016/j.jpowsour.2011.07.071,0.75,298.0,TFSI,1.0,"[""EC""]",[1.0],7.906666667,6.3611,0.7804
128,10.1016/j.jpowsour.2011.07.071,0.80,298.0,TFSI,1.0,"[""EC""]",[1.0],7.906666667,5.7461,0.7461
128,10.1016/j.jpowsour.2011.07.071,0.85,298.0,TFSI,1.0,"[""EC""]",[1.0],7.906666667,4.2727,0.9736
128,10.1016/j.jpowsour.2011.07.071,0.90,298.0,TFSI,1.0,"[""EC""]",[1.0],7.906666667,3.7296,0.8676
3813,10.1149/1.1344281,0.70,338.3557034,TFSI,0.5,"[""DME""]",[1.0],10.25769363,18.6004,1.9452
3813,10.1149/1.1344281,0.75,338.3557034,TFSI,0.5,"[""DME""]",[1.0],10.25769363,20.4721,6.2435
3813,10.1149/1.1344281,0.80,338.3557034,TFSI,0.5,"[""DME""]",[1.0],10.25769363,16.5974,3.7100
3813,10.1149/1.1344281,0.85,338.3557034,TFSI,0.5,"[""DME""]",[1.0],10.25769363,10.4059,3.3373
3813,10.1149/1.1344281,0.90,338.3557034,TFSI,0.5,"[""DME""]",[1.0],10.25769363,4.2832,1.7044
3606,10.1149/1.1344281,0.70,310.8093421,TFSI,1.0,"[""PC""]",[1.0],6.830975986,6.2286,1.0730
3606,10.1149/1.1344281,0.75,310.8093421,TFSI,1.0,"[""PC""]",[1.0],6.830975986,6.8139,1.1071
3606,10.1149/1.1344281,0.80,310.8093421,TFSI,1.0,"[""PC""]",[1.0],6.830975986,5.5970,0.6334
3606,10.1149/1.1344281,0.85,310.8093421,TFSI,1.0,"[""PC""]",[1.0],6.830975986,5.1020,0.6067
3606,10.1149/1.1344281,0.90,310.8093421,TFSI,1.0,"[""PC""]",[1.0],6.830975986,4.0844,1.0082
247,10.1016/j.jpowsour.2011.07.071,0.70,334.9025673,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,13.3562,2.7439
247,10.1016/j.jpowsour.2011.07.071,0.75,334.9025673,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,12.2176,3.7409
247,10.1016/j.jpowsour.2011.07.071,0.80,334.9025673,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,14.2488,2.9807
247,10.1016/j.jpowsour.2011.07.071,0.85,334.9025673,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,12.9416,0.9167
247,10.1016/j.jpowsour.2011.07.071,0.90,334.9025673,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",15.87380142,10.3412,2.6279
120,10.1016/j.jpowsour.2011.07.071,0.70,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,9.8546,2.0993
120,10.1016/j.jpowsour.2011.07.071,0.75,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,9.3986,2.5134
120,10.1016/j.jpowsour.2011.07.071,0.80,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,8.3186,0.7419
120,10.1016/j.jpowsour.2011.07.071,0.85,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,5.6362,0.7478
120,10.1016/j.jpowsour.2011.07.071,0.90,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",9.066666667,4.1132,0.5953
127,10.1016/j.jpowsour.2011.07.071,0.70,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,8.0037,1.0645
127,10.1016/j.jpowsour.2011.07.071,0.75,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,6.9231,1.9683
127,10.1016/j.jpowsour.2011.07.071,0.80,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,6.1868,1.3536
127,10.1016/j.jpowsour.2011.07.071,0.85,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,5.7171,1.0784
127,10.1016/j.jpowsour.2011.07.071,0.90,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",8.666666667,4.5835,0.5917
3827,10.1149/1.1344281,0.70,267.3436967,TFSI,0.5,"[""DME""]",[1.0],7.558803207,11.6375,1.4069
3827,10.1149/1.1344281,0.75,267.3436967,TFSI,0.5,"[""DME""]",[1.0],7.558803207,12.8529,2.6667
3827,10.1149/1.1344281,0.80,267.3436967,TFSI,0.5,"[""DME""]",[1.0],7.558803207,12.6419,2.4389
3827,10.1149/1.1344281,0.85,267.3436967,TFSI,0.5,"[""DME""]",[1.0],7.558803207,8.9488,0.9967
3827,10.1149/1.1344281,0.90,267.3436967,TFSI,0.5,"[""DME""]",[1.0],7.558803207,3.6734,0.2809
3614,10.1149/1.1344281,0.70,271.8869669,TFSI,1.0,"[""PC""]",[1.0],2.109297952,2.2880,0.2590
3614,10.1149/1.1344281,0.75,271.8869669,TFSI,1.0,"[""PC""]",[1.0],2.109297952,1.6335,0.3160
3614,10.1149/1.1344281,0.80,271.8869669,TFSI,1.0,"[""PC""]",[1.0],2.109297952,1.1592,0.3421
3614,10.1149/1.1344281,0.85,271.8869669,TFSI,1.0,"[""PC""]",[1.0],2.109297952,1.0851,0.1957
3614,10.1149/1.1344281,0.90,271.8869669,TFSI,1.0,"[""PC""]",[1.0],2.109297952,0.7015,0.1994
3599,10.1149/1.1344281,0.70,345.6878836,TFSI,1.0,"[""PC""]",[1.0],11.90863732,11.4077,1.2773
3599,10.1149/1.1344281,0.75,345.6878836,TFSI,1.0,"[""PC""]",[1.0],11.90863732,11.3986,2.9179
3599,10.1149/1.1344281,0.80,345.6878836,TFSI,1.0,"[""PC""]",[1.0],11.90863732,10.9953,1.2746
3599,10.1149/1.1344281,0.85,345.6878836,TFSI,1.0,"[""PC""]",[1.0],11.90863732,10.1614,3.4212
3599,10.1149/1.1344281,0.90,345.6878836,TFSI,1.0,"[""PC""]",[1.0],11.90863732,8.4347,2.0285
193,10.1016/j.jpowsour.2011.07.071,0.70,256.1150634,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,3.4558,0.3597
193,10.1016/j.jpowsour.2011.07.071,0.75,256.1150634,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,2.7825,0.4965
193,10.1016/j.jpowsour.2011.07.071,0.80,256.1150634,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,2.0651,0.2910
193,10.1016/j.jpowsour.2011.07.071,0.85,256.1150634,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,1.4868,0.4650
193,10.1016/j.jpowsour.2011.07.071,0.90,256.1150634,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",3.379987628,0.7010,0.2450
234,10.1016/j.jpowsour.2011.07.071,0.70,312.99103,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,11.4759,1.9032
234,10.1016/j.jpowsour.2011.07.071,0.75,312.99103,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,9.8250,1.2285
234,10.1016/j.jpowsour.2011.07.071,0.80,312.99103,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,9.6515,0.7803
234,10.1016/j.jpowsour.2011.07.071,0.85,312.99103,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,9.8513,0.5692
234,10.1016/j.jpowsour.2011.07.071,0.90,312.99103,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",11.83343644,5.1968,1.8449
3820,10.1149/1.1344281,0.70,303.2356303,TFSI,0.5,"[""DME""]",[1.0],9.873591112,16.6836,3.5025
3820,10.1149/1.1344281,0.75,303.2356303,TFSI,0.5,"[""DME""]",[1.0],9.873591112,17.0179,3.2720
3820,10.1149/1.1344281,0.80,303.2356303,TFSI,0.5,"[""DME""]",[1.0],9.873591112,15.7235,2.9756
3820,10.1149/1.1344281,0.85,303.2356303,TFSI,0.5,"[""DME""]",[1.0],9.873591112,10.1118,1.6860
3820,10.1149/1.1344281,0.90,303.2356303,TFSI,0.5,"[""DME""]",[1.0],9.873591112,3.8125,0.4256
119,10.1016/j.jpowsour.2011.07.071,0.70,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",8.373333333,9.0566,2.0564
119,10.1016/j.jpowsour.2011.07.071,0.75,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",8.373333333,7.7560,0.7618
119,10.1016/j.jpowsour.2011.07.071,0.80,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",8.373333333,6.2351,1.3879
119,10.1016/j.jpowsour.2011.07.071,0.85,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",8.373333333,4.5029,1.3110
119,10.1016/j.jpowsour.2011.07.071,0.90,298.0,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",8.373333333,2.9458,0.9288
3832,10.1149/1.1344281,0.70,241.4678399,TFSI,0.5,"[""DME""]",[1.0],4.904646766,10.1191,1.8277
3832,10.1149/1.1344281,0.75,241.4678399,TFSI,0.5,"[""DME""]",[1.0],4.904646766,9.5799,1.7027
3832,10.1149/1.1344281,0.80,241.4678399,TFSI,0.5,"[""DME""]",[1.0],4.904646766,8.8776,1.3234
3832,10.1149/1.1344281,0.85,241.4678399,TFSI,0.5,"[""DME""]",[1.0],4.904646766,8.0400,0.8947
3832,10.1149/1.1344281,0.90,241.4678399,TFSI,0.5,"[""DME""]",[1.0],4.904646766,4.2876,2.4485
44,10.1016/j.jpowsour.2010.12.040,0.70,297.7574305,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",7.638732831,9.7139,2.4992
44,10.1016/j.jpowsour.2010.12.040,0.75,297.7574305,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",7.638732831,11.3546,2.1143
44,10.1016/j.jpowsour.2010.12.040,0.80,297.7574305,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",7.638732831,5.2389,1.4775
44,10.1016/j.jpowsour.2010.12.040,0.85,297.7574305,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",7.638732831,3.8029,1.1906
44,10.1016/j.jpowsour.2010.12.040,0.90,297.7574305,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",7.638732831,2.5724,0.8085
31,10.1016/j.jpowsour.2010.12.040,0.70,332.5420421,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",15.58303956,13.8668,3.7877
31,10.1016/j.jpowsour.2010.12.040,0.75,332.5420421,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",15.58303956,13.5998,3.0034
31,10.1016/j.jpowsour.2010.12.040,0.80,332.5420421,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",15.58303956,10.4851,1.7483
31,10.1016/j.jpowsour.2010.12.040,0.85,332.5420421,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",15.58303956,7.6408,1.9876
31,10.1016/j.jpowsour.2010.12.040,0.90,332.5420421,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",15.58303956,4.6843,0.9011
49,10.1016/j.jpowsour.2010.12.040,0.70,253.1626323,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.406050072,3.2792,0.8390
49,10.1016/j.jpowsour.2010.12.040,0.75,253.1626323,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.406050072,2.5029,0.6337
49,10.1016/j.jpowsour.2010.12.040,0.80,253.1626323,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.406050072,1.4987,0.2184
49,10.1016/j.jpowsour.2010.12.040,0.85,253.1626323,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.406050072,0.8666,0.2924
49,10.1016/j.jpowsour.2010.12.040,0.90,253.1626323,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.406050072,0.6247,0.2316
41,10.1016/j.jpowsour.2010.12.040,0.70,322.7762915,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.9825629,13.8899,3.7421
41,10.1016/j.jpowsour.2010.12.040,0.75,322.7762915,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.9825629,12.1242,1.2262
41,10.1016/j.jpowsour.2010.12.040,0.80,322.7762915,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.9825629,8.3177,1.3889
41,10.1016/j.jpowsour.2010.12.040,0.85,322.7762915,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.9825629,8.5069,2.0176
41,10.1016/j.jpowsour.2010.12.040,0.90,322.7762915,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.9825629,5.4292,0.7941
37,10.1016/j.jpowsour.2010.12.040,0.70,273.0531347,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",5.943977157,5.9829,0.7813
37,10.1016/j.jpowsour.2010.12.040,0.75,273.0531347,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",5.943977157,3.8356,1.0775
37,10.1016/j.jpowsour.2010.12.040,0.80,273.0531347,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",5.943977157,4.2436,0.4446
37,10.1016/j.jpowsour.2010.12.040,0.85,273.0531347,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",5.943977157,2.1623,0.3206
37,10.1016/j.jpowsour.2010.12.040,0.90,273.0531347,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",5.943977157,1.1238,0.4146
66,10.1016/j.jpowsour.2010.12.040,0.70,283.0889854,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.856573625,9.9003,2.1173
66,10.1016/j.jpowsour.2010.12.040,0.75,283.0889854,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.856573625,9.0995,0.8884
66,10.1016/j.jpowsour.2010.12.040,0.80,283.0889854,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.856573625,7.0429,1.5644
66,10.1016/j.jpowsour.2010.12.040,0.85,283.0889854,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.856573625,4.5278,0.6478
66,10.1016/j.jpowsour.2010.12.040,0.90,283.0889854,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",2.856573625,2.9114,0.4244
13823,10.1016/0378-7753(91)80004-H,0.70,353.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.79,17.4834,5.1230
13823,10.1016/0378-7753(91)80004-H,0.75,353.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.79,24.8514,5.7580
13823,10.1016/0378-7753(91)80004-H,0.80,353.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.79,23.9448,4.2537
13823,10.1016/0378-7753(91)80004-H,0.85,353.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.79,16.0358,3.5009
13823,10.1016/0378-7753(91)80004-H,0.90,353.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.79,15.7465,3.7397
13793,10.1016/0378-7753(91)80004-H,0.70,213.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.02,0.2460,0.0717
13793,10.1016/0378-7753(91)80004-H,0.75,213.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.02,0.1688,0.0563
13793,10.1016/0378-7753(91)80004-H,0.80,213.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.02,0.1102,0.0345
13793,10.1016/0378-7753(91)80004-H,0.85,213.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.02,0.1029,0.0351
13793,10.1016/0378-7753(91)80004-H,0.90,213.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.02,0.1226,0.0725
70,10.1016/j.jpowsour.2010.12.040,0.70,332.6559387,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.48660798,19.2166,2.5386
70,10.1016/j.jpowsour.2010.12.040,0.75,332.6559387,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.48660798,17.6979,1.7670
70,10.1016/j.jpowsour.2010.12.040,0.80,332.6559387,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.48660798,12.6190,2.0264
70,10.1016/j.jpowsour.2010.12.040,0.85,332.6559387,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.48660798,9.2231,2.0570
70,10.1016/j.jpowsour.2010.12.040,0.90,332.6559387,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",10.48660798,6.0376,1.6118
13814,10.1016/0378-7753(91)80004-H,0.70,293.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",4.25,10.2492,3.4992
13814,10.1016/0378-7753(91)80004-H,0.75,293.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",4.25,7.9290,3.3285
13814,10.1016/0378-7753(91)80004-H,0.80,293.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",4.25,6.8674,1.2640
13814,10.1016/0378-7753(91)80004-H,0.85,293.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",4.25,5.5684,1.9100
13814,10.1016/0378-7753(91)80004-H,0.90,293.15,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",4.25,4.7411,0.9601
4375,10.1149/1.1466857,0.70,222.4457746,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.12987013,1.2600,0.3411
4375,10.1149/1.1466857,0.75,222.4457746,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.12987013,1.0844,0.2681
4375,10.1149/1.1466857,0.80,222.4457746,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.12987013,0.7688,0.1342
4375,10.1149/1.1466857,0.85,222.4457746,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.12987013,0.6487,0.2769
4375,10.1149/1.1466857,0.90,222.4457746,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",0.12987013,0.4014,0.0683
