sampling_order,salt_cluster_id,cluster_id,cluster_rank_in_sampling,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,selection_reason,cluster_size,weighted_permittivity,weighted_viscosity_mPa_s_25C,solvent_entropy,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,composition_summary,duplicate_identity,source_row_indices,source_dois,conductivity_std,replicate_count,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
11,PF6,1,11,11917,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,138.14999999999998,3.7349999999999994,7.98,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",[11917],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,3.0,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
12,PF6,1,12,4363,10.1149/1.1466857,10.1149/1.1466857,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",222.7274648,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,28.73,1.025,0.551948052,EC:0.300+EMC:0.700,"('Li', 'PF6', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 222.7274648)",[4363],"[""10.1149/1.1466857""]",0.0,1,LiPF6,1.0,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
13,PF6,1,13,10874,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",333.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,12.708731445879,0.44525371126709995,12.82483157,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 0.391363023, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)",[10874],"[""10.1149/1.1872737""]",0.0,1,LiPF6,0.391363023,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
14,PF6,1,14,192,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",354.0952676,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,46.05,1.2449999999999999,22.55335602,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 354.0952676)",[192],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiPF6,1.0,mol/l,mol/L,molar,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
15,PF6,1,15,10901,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,1.738191633,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,56.444296898409,1.9775406208641,2.935514918,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 1.738191633, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",[10901],"[""10.1149/1.1872737""]",0.0,1,LiPF6,1.738191633,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
16,PF6,1,16,11957,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,1.497,"[""EC"",""EMC""]","[0.3,0.7]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,43.008810000000004,1.534425,11.934,EC:0.300+EMC:0.700,"('Li', 'PF6', 1.497, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",[11957],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,1.497,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
17,PF6,1,17,13636,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",293.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,68.515,2.4354999999999998,0.42270908780599087,68.515,2.4354999999999998,5.64,EC:0.150+PC:0.850,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 293.15)",[13636],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0
18,PF6,1,18,11886,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,2.0,"[""EC"",""DMC""]","[0.5,0.5]",263.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,92.1,2.4899999999999998,1.824,EC:0.500+DMC:0.500,"('Li', 'PF6', 2.0, '[""EC"",""DMC""]', '[0.5,0.5]', 263.15)",[11886],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,2.0,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
19,PF6,1,19,10899,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,0.391363023,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",263.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,12.708731445879,0.44525371126709995,4.234841193,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 0.391363023, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 263.0)",[10899],"[""10.1149/1.1872737""]",0.0,1,LiPF6,0.391363023,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
20,PF6,1,20,12014,10.1149/2.0641503jes,10.1149/2.0641503jes,Li,PF6,1.5,"[""EC"",""DEC""]","[0.5,0.5]",283.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,45.9,1.255,0.6931471805599453,68.85,1.8824999999999998,3.785824515,EC:0.500+DEC:0.500,"('Li', 'PF6', 1.5, '[""EC"",""DEC""]', '[0.5,0.5]', 283.15)",[12014],"[""10.1149/2.0641503jes""]",0.0,1,LiPF6,1.5,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
