sampling_order,salt_cluster_id,cluster_id,cluster_rank_in_sampling,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,selection_reason,cluster_size,weighted_permittivity,weighted_viscosity_mPa_s_25C,solvent_entropy,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,composition_summary,duplicate_identity,source_row_indices,source_dois,conductivity_std,replicate_count,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
31,PF6,1,31,13640,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",313.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,76.95,2.215,0.6931471805599453,76.95,2.215,10.34,EC:0.500+PC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 313.15)",[13640],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
32,PF6,1,32,12013,10.1149/2.0641503jes,10.1149/2.0641503jes,Li,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",313.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,45.9,1.255,0.6931471805599453,55.143750005099996,1.5077430556949998,10.204806,EC:0.500+DEC:0.500,"('Li', 'PF6', 1.201388889, '[""EC"",""DEC""]', '[0.5,0.5]', 313.15)",[12013],"[""10.1149/2.0641503jes""]",0.0,1,LiPF6,1.201388889,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
33,PF6,1,33,10875,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,0.960863698,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",333.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,31.202126865154,1.0931746292146,19.30943215,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 0.960863698, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)","[10875,10876]","[""10.1149/1.1872737""]",0.45938121178094626,2,LiPF6,0.960863698,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
34,PF6,1,34,10895,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,2.237516869,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",293.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,72.658885287037,2.5456229418612994,6.207892204,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 2.237516869, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 293.0)","[10895,10896]","[""10.1149/1.1872737""]",0.4763953294787168,2,LiPF6,2.237516869,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
35,PF6,1,35,11883,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,0.503,"[""EC"",""DMC""]","[0.5,0.5]",263.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,23.163149999999998,0.626235,4.959,EC:0.500+DMC:0.500,"('Li', 'PF6', 0.503, '[""EC"",""DMC""]', '[0.5,0.5]', 263.15)",[11883],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,0.503,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
36,PF6,1,36,11905,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,1.505,"[""EC"",""DMC""]","[0.5,0.5]",303.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,69.30524999999999,1.8737249999999996,10.896,EC:0.500+DMC:0.500,"('Li', 'PF6', 1.505, '[""EC"",""DMC""]', '[0.5,0.5]', 303.15)",[11905],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,1.505,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
37,ClO4,2,1,3744,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],296.4654522,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",64,64.9,2.53,-0.0,64.9,2.53,3.736059577,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 296.4654522)",[3744],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
38,ClO4,2,2,3812,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,0.5,"[""DME""]",[1.0],212.2342837,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,7.2,0.39,-0.0,3.6,0.195,0.220060166,DME:1.000,"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 212.2342837)",[3812],"[""10.1149/1.1344281""]",0.0,1,LiClO4,0.5,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
39,ClO4,2,3,3724,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],393.6420782,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,64.9,2.53,-0.0,64.9,2.53,15.11159636,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 393.6420782)",[3724],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
40,ClO4,2,4,3786,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,0.5,"[""DME""]",[1.0],342.1636336,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,7.2,0.39,-0.0,3.6,0.195,2.579896064,DME:1.000,"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 342.1636336)",[3786],"[""10.1149/1.1344281""]",0.0,1,LiClO4,0.5,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
41,ClO4,2,5,3760,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],217.5511705,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,64.9,2.53,-0.0,64.9,2.53,0.016360369,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 217.5511705)",[3760],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
42,ClO4,2,6,3734,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],345.6484223,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,64.9,2.53,-0.0,64.9,2.53,9.091189065,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 345.6484223)",[3734],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
43,ClO4,2,7,3800,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,0.5,"[""DME""]",[1.0],273.3744374,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,7.2,0.39,-0.0,3.6,0.195,2.784526666,DME:1.000,"('Li', 'ClO4', 0.5, '[""DME""]', '[1.0]', 273.3744374)",[3800],"[""10.1149/1.1344281""]",0.0,1,LiClO4,0.5,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
44,ClO4,2,8,3751,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],261.8047361,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,64.9,2.53,-0.0,64.9,2.53,1.099966124,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 261.8047361)",[3751],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
45,ClO4,2,9,3739,10.1149/1.1344281,10.1149/1.1344281,Li,ClO4,1.0,"[""PC""]",[1.0],321.2048223,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,64,64.9,2.53,-0.0,64.9,2.53,6.309573445,PC:1.000,"('Li', 'ClO4', 1.0, '[""PC""]', '[1.0]', 321.2048223)",[3739],"[""10.1149/1.1344281""]",0.0,1,LiClO4,1.0,mol/l,mol/L,molar,,0,1,0,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
46,TFSI,3,1,224,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",292.1342406,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",127,46.05,1.2449999999999999,0.6931471805599453,46.05,1.2449999999999999,7.696412001,EC:0.500+DMC:0.500,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 292.1342406)",[224],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
47,TFSI,3,2,3838,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,0.5,"[""DME""]",[1.0],211.8374067,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,7.2,0.39,-0.0,3.6,0.195,2.271713669,DME:1.000,"('Li', 'TFSI', 0.5, '[""DME""]', '[1.0]', 211.8374067)",[3838],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,0.5,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
48,TFSI,3,3,3593,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],375.3490984,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,64.9,2.53,-0.0,64.9,2.53,16.88831057,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 375.3490984)",[3593],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
49,TFSI,3,4,3625,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],217.6928575,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,64.9,2.53,-0.0,64.9,2.53,0.018873918,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 217.6928575)",[3625],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
50,TFSI,3,5,129,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""DMC""]",[1.0],298.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,3.1,0.59,-0.0,3.1,0.59,6.993333333,DMC:1.000,"('Li', 'TFSI', 1.0, '[""DMC""]', '[1.0]', 298.0)",[129],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,weight,,0,0,1,0,0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
51,TFSI,3,6,128,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC""]",[1.0],298.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,89.0,1.9,-0.0,89.0,1.9,7.906666667,EC:1.000,"('Li', 'TFSI', 1.0, '[""EC""]', '[1.0]', 298.0)",[128],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,weight,,0,0,1,0,0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,TFSI,3,7,3813,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,0.5,"[""DME""]",[1.0],338.3557034,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,7.2,0.39,-0.0,3.6,0.195,10.25769363,DME:1.000,"('Li', 'TFSI', 0.5, '[""DME""]', '[1.0]', 338.3557034)",[3813],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,0.5,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
53,TFSI,3,8,3606,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],310.8093421,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,64.9,2.53,-0.0,64.9,2.53,6.830975986,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 310.8093421)",[3606],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
54,TFSI,3,9,247,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",334.9025673,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,46.05,1.2449999999999999,0.6931471805599453,46.05,1.2449999999999999,15.87380142,EC:0.500+DMC:0.500,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 334.9025673)",[247],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
55,TFSI,3,10,120,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",298.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,20.28,0.852,0.5004024235381879,20.28,0.852,9.066666667,EC:0.200+DMC:0.800,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.2,0.8]', 298.0)",[120],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,weight,,0,0,1,0,0,1,0.2,0,0.0,0,0.0,1,0.8,0,0.0,0,0.0
56,TFSI,3,11,127,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",298.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,71.82000000000001,1.638,0.5004024235381879,71.82000000000001,1.638,8.666666667,EC:0.800+DMC:0.200,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.8,0.2]', 298.0)",[127],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,weight,,0,0,1,0,0,1,0.8,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0
57,TFSI,3,12,3827,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,0.5,"[""DME""]",[1.0],267.3436967,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,7.2,0.39,-0.0,3.6,0.195,7.558803207,DME:1.000,"('Li', 'TFSI', 0.5, '[""DME""]', '[1.0]', 267.3436967)",[3827],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,0.5,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
58,TFSI,3,13,3614,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],271.8869669,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,64.9,2.53,-0.0,64.9,2.53,2.109297952,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 271.8869669)",[3614],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
59,TFSI,3,14,3599,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,1.0,"[""PC""]",[1.0],345.6878836,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,64.9,2.53,-0.0,64.9,2.53,11.90863732,PC:1.000,"('Li', 'TFSI', 1.0, '[""PC""]', '[1.0]', 345.6878836)",[3599],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
60,TFSI,3,15,193,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",256.1150634,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,46.05,1.2449999999999999,0.6931471805599453,46.05,1.2449999999999999,3.379987628,EC:0.500+DMC:0.500,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 256.1150634)",[193],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
61,TFSI,3,16,234,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",312.99103,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,46.05,1.2449999999999999,0.6931471805599453,46.05,1.2449999999999999,11.83343644,EC:0.500+DMC:0.500,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.5,0.5]', 312.99103)",[234],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,molar,,0,0,1,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
62,TFSI,3,17,3820,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,0.5,"[""DME""]",[1.0],303.2356303,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,7.2,0.39,-0.0,3.6,0.195,9.873591112,DME:1.000,"('Li', 'TFSI', 0.5, '[""DME""]', '[1.0]', 303.2356303)",[3820],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,0.5,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
63,TFSI,3,18,119,10.1016/j.jpowsour.2011.07.071,10.1016/j.jpowsour.2011.07.071,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",298.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,11.690000000000001,0.7210000000000001,0.3250829733914482,11.690000000000001,0.7210000000000001,8.373333333,EC:0.100+DMC:0.900,"('Li', 'TFSI', 1.0, '[""EC"",""DMC""]', '[0.1,0.9]', 298.0)",[119],"[""10.1016/j.jpowsour.2011.07.071""]",0.0,1,LiTFSI,1.0,mol/l,mol/L,weight,,0,0,1,0,0,1,0.1,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0
64,TFSI,3,19,3832,10.1149/1.1344281,10.1149/1.1344281,Li,TFSI,0.5,"[""DME""]",[1.0],241.4678399,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,127,7.2,0.39,-0.0,3.6,0.195,4.904646766,DME:1.000,"('Li', 'TFSI', 0.5, '[""DME""]', '[1.0]', 241.4678399)",[3832],"[""10.1149/1.1344281""]",0.0,1,LiTFSI,0.5,mol/l,mol/L,molar,,0,0,1,0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
65,FSI,4,1,44,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",297.7574305,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",19,28.73,1.025,0.6108643020548935,28.73,1.025,7.638732831,EC:0.300+EMC:0.700,"('Li', 'FSI', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 297.7574305)",[44],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiFSI,1.0,mol/l,mol/L,volume,,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
66,FSI,4,2,31,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.5420421,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,19,28.73,1.025,0.6108643020548935,28.73,1.025,15.58303956,EC:0.300+EMC:0.700,"('Li', 'FSI', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 332.5420421)",[31],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiFSI,1.0,mol/l,mol/L,volume,,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
67,FSI,4,3,49,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.1626323,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,19,28.73,1.025,0.6108643020548935,28.73,1.025,2.406050072,EC:0.300+EMC:0.700,"('Li', 'FSI', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 253.1626323)",[49],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiFSI,1.0,mol/l,mol/L,volume,,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
68,FSI,4,4,41,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.7762915,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,19,28.73,1.025,0.6108643020548935,28.73,1.025,10.9825629,EC:0.300+EMC:0.700,"('Li', 'FSI', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 322.7762915)",[41],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiFSI,1.0,mol/l,mol/L,volume,,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
69,FSI,4,5,37,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,FSI,1.0,"[""EC"",""EMC""]","[0.3,0.7]",273.0531347,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,19,28.73,1.025,0.6108643020548935,28.73,1.025,5.943977157,EC:0.300+EMC:0.700,"('Li', 'FSI', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 273.0531347)",[37],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiFSI,1.0,mol/l,mol/L,volume,,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
70,BF4,5,1,66,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",43,28.73,1.025,0.6108643020548935,28.73,1.025,2.856573625,EC:0.300+EMC:0.700,"('Li', 'BF4', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 283.0889854)",[66],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiBF4,1.0,mol/l,mol/L,volume,,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
71,BF4,5,2,13823,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",353.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,43,76.95,2.215,0.6931471805599453,76.95,2.215,10.79,EC:0.500+PC:0.500,"('Li', 'BF4', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 353.15)",[13823],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiBF4,1.0,mol/l,mol/L,volume,,0,0,0,0,1,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
72,BF4,5,3,13793,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",213.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,43,76.95,2.215,0.6931471805599453,76.95,2.215,0.02,EC:0.500+PC:0.500,"('Li', 'BF4', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 213.15)",[13793],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiBF4,1.0,mol/l,mol/L,volume,,0,0,0,0,1,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
73,BF4,5,4,70,10.1016/j.jpowsour.2010.12.040,10.1016/j.jpowsour.2010.12.040,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,43,28.73,1.025,0.6108643020548935,28.73,1.025,10.48660798,EC:0.300+EMC:0.700,"('Li', 'BF4', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 332.6559387)",[70],"[""10.1016/j.jpowsour.2010.12.040""]",0.0,1,LiBF4,1.0,mol/l,mol/L,volume,,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
74,BF4,5,5,13814,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,BF4,1.0,"[""EC"",""PC""]","[0.5,0.5]",293.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,43,76.95,2.215,0.6931471805599453,76.95,2.215,4.25,EC:0.500+PC:0.500,"('Li', 'BF4', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 293.15)",[13814],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiBF4,1.0,mol/l,mol/L,volume,,0,0,0,0,1,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
