saltPF6_rank01_row11894_q0p90,11894,10.1149/2.0571912jes,Li,PF6,1.004,"[""EC"",""DMC""]","[0.5,0.5]",283.15,PF6,0.90,"salt-family centroid representative selected from salt_conc, temperature, weighted_permittivity, weighted_viscosity_mPa_s_25C, solvent_entropy, salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity, frac_EC, frac_PC, frac_DME, frac_DMC, frac_DEC, frac_EMC, conductivity descriptor space",1,1,1,10.1149/2.0571912jes,[11894],"[""10.1149/2.0571912jes""]",8.723,0.0,1,LiPF6,1.004,mol/l,mol/L,weight,,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.234199999999994,1.2499799999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,"('Li', 'PF6', 1.004, '[""EC"",""DMC""]', '[0.5,0.5]', 283.15)",242
saltPF6_rank04_row13645_q0p70,13645,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,4,1,4,10.1016/0378-7753(91)80004-H,[13645],"[""10.1016/0378-7753(91)80004-H""]",16.88,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",242
saltPF6_rank04_row13645_q0p75,13645,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,4,1,4,10.1016/0378-7753(91)80004-H,[13645],"[""10.1016/0378-7753(91)80004-H""]",16.88,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",242
saltPF6_rank04_row13645_q0p80,13645,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,4,1,4,10.1016/0378-7753(91)80004-H,[13645],"[""10.1016/0378-7753(91)80004-H""]",16.88,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",242
saltPF6_rank04_row13645_q0p85,13645,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,4,1,4,10.1016/0378-7753(91)80004-H,[13645],"[""10.1016/0378-7753(91)80004-H""]",16.88,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",242
saltPF6_rank04_row13645_q0p90,13645,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.15,0.85]",353.15,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,4,1,4,10.1016/0378-7753(91)80004-H,[13645],"[""10.1016/0378-7753(91)80004-H""]",16.88,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.150+PC:0.850,0.42270908780599087,68.515,2.4354999999999998,68.515,2.4354999999999998,1,0,0,0,0,1,0.15,1,0.85,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.15,0.85]', 353.15)",242
saltPF6_rank05_row11959_q0p70,11959,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,5,1,5,10.1149/2.0571912jes,[11959],"[""10.1149/2.0571912jes""]",5.617,0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,86.07508,3.0708999999999995,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank05_row11959_q0p75,11959,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,5,1,5,10.1149/2.0571912jes,[11959],"[""10.1149/2.0571912jes""]",5.617,0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,86.07508,3.0708999999999995,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank05_row11959_q0p80,11959,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,5,1,5,10.1149/2.0571912jes,[11959],"[""10.1149/2.0571912jes""]",5.617,0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,86.07508,3.0708999999999995,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank05_row11959_q0p85,11959,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,5,1,5,10.1149/2.0571912jes,[11959],"[""10.1149/2.0571912jes""]",5.617,0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,86.07508,3.0708999999999995,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank05_row11959_q0p90,11959,10.1149/2.0571912jes,Li,PF6,2.996,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,5,1,5,10.1149/2.0571912jes,[11959],"[""10.1149/2.0571912jes""]",5.617,0.0,1,LiPF6,2.996,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,86.07508,3.0708999999999995,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 2.996, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank06_row13634_q0p70,13634,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,6,1,6,10.1016/0378-7753(91)80004-H,[13634],"[""10.1016/0378-7753(91)80004-H""]",3.46,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.500+PC:0.500,0.6931471805599453,76.95,2.215,76.95,2.215,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",242
saltPF6_rank06_row13634_q0p75,13634,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,6,1,6,10.1016/0378-7753(91)80004-H,[13634],"[""10.1016/0378-7753(91)80004-H""]",3.46,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.500+PC:0.500,0.6931471805599453,76.95,2.215,76.95,2.215,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",242
saltPF6_rank06_row13634_q0p80,13634,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,6,1,6,10.1016/0378-7753(91)80004-H,[13634],"[""10.1016/0378-7753(91)80004-H""]",3.46,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.500+PC:0.500,0.6931471805599453,76.95,2.215,76.95,2.215,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",242
saltPF6_rank06_row13634_q0p85,13634,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,6,1,6,10.1016/0378-7753(91)80004-H,[13634],"[""10.1016/0378-7753(91)80004-H""]",3.46,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.500+PC:0.500,0.6931471805599453,76.95,2.215,76.95,2.215,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",242
saltPF6_rank06_row13634_q0p90,13634,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",273.15,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,6,1,6,10.1016/0378-7753(91)80004-H,[13634],"[""10.1016/0378-7753(91)80004-H""]",3.46,0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.500+PC:0.500,0.6931471805599453,76.95,2.215,76.95,2.215,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 273.15)",242
saltPF6_rank07_row11954_q0p70,11954,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,7,1,7,10.1149/2.0571912jes,[11954],"[""10.1149/2.0571912jes""]",3.556,0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,2.75808,0.09839999999999999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank07_row11954_q0p75,11954,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.75,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,7,1,7,10.1149/2.0571912jes,[11954],"[""10.1149/2.0571912jes""]",3.556,0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,2.75808,0.09839999999999999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank07_row11954_q0p80,11954,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.80,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,7,1,7,10.1149/2.0571912jes,[11954],"[""10.1149/2.0571912jes""]",3.556,0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,2.75808,0.09839999999999999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank07_row11954_q0p85,11954,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.85,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,7,1,7,10.1149/2.0571912jes,[11954],"[""10.1149/2.0571912jes""]",3.556,0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,2.75808,0.09839999999999999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank07_row11954_q0p90,11954,10.1149/2.0571912jes,Li,PF6,0.096,"[""EC"",""EMC""]","[0.3,0.7]",323.15,PF6,0.90,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,7,1,7,10.1149/2.0571912jes,[11954],"[""10.1149/2.0571912jes""]",3.556,0.0,1,LiPF6,0.096,mol/l,mol/L,weight,,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,2.75808,0.09839999999999999,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,"('Li', 'PF6', 0.096, '[""EC"",""EMC""]', '[0.3,0.7]', 323.15)",242
saltPF6_rank08_row12004_q0p70,12004,10.1149/2.0641503jes,Li,PF6,0.5,"[""EC"",""DEC""]","[0.5,0.5]",313.15,PF6,0.70,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,8,1,8,10.1149/2.0641503jes,[12004],"[""10.1149/2.0641503jes""]",8.738205467,0.0,1,LiPF6,0.5,mol/l,mol/L,weight,,EC:0.500+DEC:0.500,0.6931471805599453,45.9,1.255,22.95,0.6275,1,0,0,0,0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,"('Li', 'PF6', 0.5, '[""EC"",""DEC""]', '[0.5,0.5]', 313.15)",242
