original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
48,10.1016/j.jpowsour.2010.12.040,3.391455968,FSI,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
49,10.1016/j.jpowsour.2010.12.040,2.406050072,FSI,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,1,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
50,10.1016/j.jpowsour.2010.12.040,15.68624976,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
51,10.1016/j.jpowsour.2010.12.040,13.83716218,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
52,10.1016/j.jpowsour.2010.12.040,12.04594933,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
53,10.1016/j.jpowsour.2010.12.040,10.21332669,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
54,10.1016/j.jpowsour.2010.12.040,9.373393367,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
55,10.1016/j.jpowsour.2010.12.040,8.545933527,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
56,10.1016/j.jpowsour.2010.12.040,6.873059177,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
57,10.1016/j.jpowsour.2010.12.040,5.348178506,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
58,10.1016/j.jpowsour.2010.12.040,4.0,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
59,10.1016/j.jpowsour.2010.12.040,2.76382576,PF6,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
60,10.1016/j.jpowsour.2010.12.040,6.103022078,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
61,10.1016/j.jpowsour.2010.12.040,5.419257645,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
62,10.1016/j.jpowsour.2010.12.040,4.748984501,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
63,10.1016/j.jpowsour.2010.12.040,4.080006438,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
64,10.1016/j.jpowsour.2010.12.040,3.719833623,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
65,10.1016/j.jpowsour.2010.12.040,3.436529588,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
66,10.1016/j.jpowsour.2010.12.040,2.856573625,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
67,10.1016/j.jpowsour.2010.12.040,2.29739671,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
68,10.1016/j.jpowsour.2010.12.040,1.764240962,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
69,10.1016/j.jpowsour.2010.12.040,1.293633165,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
70,10.1016/j.jpowsour.2010.12.040,10.48660798,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
71,10.1016/j.jpowsour.2010.12.040,9.311719622,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
72,10.1016/j.jpowsour.2010.12.040,8.052985912,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
73,10.1016/j.jpowsour.2010.12.040,6.827836782,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
