original_row_index,doi,original_salt,rejection_reason
266,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
267,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
268,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
269,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
270,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
271,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
272,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
273,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
274,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
275,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
276,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
277,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
278,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
279,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
280,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
281,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
282,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
283,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
284,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
285,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
286,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
287,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
288,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
289,10.1016/S0013-4686(99)00431-4,LiPF6,unsupported nonzero solvent(s): 2-Glyme=0.5
290,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
291,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
292,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
293,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
294,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
295,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
296,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
297,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
298,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
