original_row_index,doi,original_salt,rejection_reason
3927,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3928,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3929,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3930,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3931,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3932,10.1149/1.1344281,LiTFSI,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3933,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3934,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3935,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3936,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3937,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3938,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3939,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3940,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3941,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3942,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3943,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3944,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3945,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3946,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3947,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3948,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3949,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3950,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3951,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3952,10.1149/1.1344281,LiClO4,unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3953,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3954,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3955,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3956,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3957,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3958,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3959,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3960,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3961,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3962,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3963,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3964,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3965,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3966,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3967,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3968,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3969,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3970,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3971,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3972,10.1149/1.1344281,LiBPFPB,unsupported or ambiguous salt: LiBPFPB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3973,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3974,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3975,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3976,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3977,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3978,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3979,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3980,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3981,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3982,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3983,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3984,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3985,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3986,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3987,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3988,10.1149/1.1344281,LiBMB,unsupported or ambiguous salt: LiBMB | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3989,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3990,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3991,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3992,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3993,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3994,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3995,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3996,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3997,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3998,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
3999,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4000,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4001,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4002,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4003,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4004,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4005,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4006,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4007,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4008,10.1149/1.1344281,LiCF3SO3,unsupported or ambiguous salt: LiCF3SO3 | unsupported nonzero solvent(s): DMSO=1 | no nonzero supported solvent composition
4009,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4010,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4011,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4012,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4013,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4014,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4015,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4016,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4017,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4018,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4019,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4020,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4021,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4022,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4023,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4024,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4025,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4026,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4027,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4028,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4029,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4030,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4031,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4032,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4033,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4034,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4035,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4036,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4037,10.1149/1.1390879,LiPF6,unsupported nonzero solvent(s): MOEMC=1 | no nonzero supported solvent composition
4038,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4039,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4040,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4041,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4042,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4043,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4044,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4045,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4046,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4047,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4048,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4049,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4050,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4051,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4052,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4053,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4054,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4055,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4056,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4057,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4058,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4059,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4060,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4061,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4062,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4063,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4064,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4065,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4066,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4067,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4068,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4069,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4070,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4071,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4072,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4073,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4074,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4075,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4076,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4077,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4078,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4079,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4080,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4081,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4082,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4083,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4084,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4085,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4086,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4087,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4088,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4089,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4090,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4091,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4092,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4093,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4094,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4095,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4096,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4097,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4098,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4099,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4100,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4101,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4102,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4103,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4104,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4105,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4106,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4107,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4108,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4109,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4110,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4111,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4112,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4113,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4114,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4115,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4116,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4117,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4118,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4119,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4120,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4121,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4122,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4123,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4124,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4125,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4126,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4127,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4128,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4129,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4130,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4131,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4132,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4133,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4134,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4135,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4136,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4137,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4138,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4139,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4140,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4141,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4142,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4143,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4144,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4145,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4146,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4147,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4148,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4149,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4150,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4151,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4152,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4153,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4154,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4155,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4156,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4157,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4158,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4159,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4160,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4161,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4162,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4163,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4164,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4165,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4166,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4167,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4168,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4169,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4170,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4171,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4172,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4173,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4174,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4175,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4176,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4177,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4178,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4179,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4180,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4181,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4182,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4183,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4184,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
4185,10.1149/1.1403730,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
