original_row_index,doi,conductivity,anion_name,composition_summary,salt_conc,temperature,replicate_count,cluster_id,pca1,pca2
57,10.1016/j.jpowsour.2010.12.040,5.348178506,PF6,EC:0.300+EMC:0.700,1.0,272.939314,1,3,1.2337734972023797,-1.590518411771162
58,10.1016/j.jpowsour.2010.12.040,4.0,PF6,EC:0.300+EMC:0.700,1.0,263.0331754,1,3,1.2337734972023797,-1.590518411771162
59,10.1016/j.jpowsour.2010.12.040,2.76382576,PF6,EC:0.300+EMC:0.700,1.0,253.1395384,1,3,1.2337734972023797,-1.590518411771162
60,10.1016/j.jpowsour.2010.12.040,6.103022078,BF4,EC:0.300+EMC:0.700,1.0,332.8117237,1,3,0.8204914953856425,-1.8236774823782305
61,10.1016/j.jpowsour.2010.12.040,5.419257645,BF4,EC:0.300+EMC:0.700,1.0,322.9677005,1,3,0.8204914953856425,-1.8236774823782305
62,10.1016/j.jpowsour.2010.12.040,4.748984501,BF4,EC:0.300+EMC:0.700,1.0,312.985053,1,3,0.8204914953856425,-1.8236774823782305
63,10.1016/j.jpowsour.2010.12.040,4.080006438,BF4,EC:0.300+EMC:0.700,1.0,302.9428736,1,3,0.8204914953856425,-1.8236774823782305
64,10.1016/j.jpowsour.2010.12.040,3.719833623,BF4,EC:0.300+EMC:0.700,1.0,298.0833662,1,3,0.8204914953856425,-1.8236774823782305
65,10.1016/j.jpowsour.2010.12.040,3.436529588,BF4,EC:0.300+EMC:0.700,1.0,293.0645169,1,3,0.8204914953856425,-1.8236774823782305
66,10.1016/j.jpowsour.2010.12.040,2.856573625,BF4,EC:0.300+EMC:0.700,1.0,283.0889854,1,3,0.8204914953856425,-1.8236774823782305
67,10.1016/j.jpowsour.2010.12.040,2.29739671,BF4,EC:0.300+EMC:0.700,1.0,273.103041,1,3,0.8204914953856425,-1.8236774823782305
68,10.1016/j.jpowsour.2010.12.040,1.764240962,BF4,EC:0.300+EMC:0.700,1.0,263.1804756,1,3,0.8204914953856425,-1.8236774823782305
69,10.1016/j.jpowsour.2010.12.040,1.293633165,BF4,EC:0.300+EMC:0.700,1.0,253.3816835,1,3,0.8204914953856425,-1.8236774823782305
70,10.1016/j.jpowsour.2010.12.040,10.48660798,BF4,EC:0.300+EMC:0.700,1.0,332.6559387,1,3,0.8204914953856425,-1.8236774823782305
71,10.1016/j.jpowsour.2010.12.040,9.311719622,BF4,EC:0.300+EMC:0.700,1.0,322.8209929,1,3,0.8204914953856425,-1.8236774823782305
72,10.1016/j.jpowsour.2010.12.040,8.052985912,BF4,EC:0.300+EMC:0.700,1.0,312.8506316,1,3,0.8204914953856425,-1.8236774823782305
73,10.1016/j.jpowsour.2010.12.040,6.827836782,BF4,EC:0.300+EMC:0.700,1.0,302.8200851,1,3,0.8204914953856425,-1.8236774823782305
74,10.1016/j.jpowsour.2010.12.040,6.266322617,BF4,EC:0.300+EMC:0.700,1.0,297.9629611,1,3,0.8204914953856425,-1.8236774823782305
75,10.1016/j.jpowsour.2010.12.040,5.75098679,BF4,EC:0.300+EMC:0.700,1.0,292.9496041,1,3,0.8204914953856425,-1.8236774823782305
