k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,status
2,0.6581190344617436,967.8646067790436,0.519992139911759,evaluated
3,0.7007839830506453,1277.5572613219592,0.4393776744598441,evaluated
4,0.7247222775108604,1857.4259904427984,0.3782319500073359,evaluated
5,0.7972778726861223,2570.667220540388,0.2782959436437753,evaluated
6,0.7803698238482811,2893.5960772614753,0.42656464554294743,evaluated
