criterion_name,features_used,cluster_id,cluster_size,representative_row_index,representative_doi,mean_conductivity,mean_weighted_permittivity,mean_weighted_viscosity_mPa_s_25C,mean_salt_conc_x_weighted_permittivity,mean_salt_conc_x_weighted_viscosity
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",1,157,11909,10.1149/2.0571912jes,9.391234836127389,45.325859872611474,1.2366751592356688,46.26102993930097,1.2684681477863697
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",2,147,13615,10.1016/0378-7753(91)80004-H,5.882032184263038,59.07974149659862,2.067978231292517,69.28901721485751,2.398533820052793
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",3,76,23,10.1016/j.electacta.2008.04.023,5.124020872473683,13.400460526315792,0.5798618421052631,5.389994177992106,0.24848885236594742
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",4,11,11897,10.1149/2.0571912jes,3.7174939189999994,41.11290909090909,1.2059818181818185,127.27187673190825,3.7555769261087177
saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",5,104,122,10.1016/j.jpowsour.2011.07.071,6.976713939346154,30.99439423076923,1.0551663461538465,28.472513131228844,0.9862244410019616
