source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
23,46,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,23,5,5,0.7972778726861223,False
24,47,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,24,5,5,0.7972778726861223,False
25,48,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,25,5,5,0.7972778726861223,False
26,49,10.1016/j.jpowsour.2010.12.040,FSI,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,26,5,5,0.7972778726861223,False
27,50,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,27,5,5,0.7972778726861223,False
28,51,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,28,5,5,0.7972778726861223,False
29,52,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,29,5,5,0.7972778726861223,False
30,53,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,30,5,5,0.7972778726861223,False
31,54,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,31,5,5,0.7972778726861223,False
32,55,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",28.73,1.025,5,clustered,32,5,5,0.7972778726861223,False
