source_row_number,original_row_index,doi,anion_name,composition_summary,descriptor_name,descriptor_value,cluster_id,row_status,selected_k,best_silhouette_score,one_cluster_fallback_used
32,55,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
33,56,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
34,57,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
35,58,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
36,59,10.1016/j.jpowsour.2010.12.040,PF6,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
37,60,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
38,61,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
39,62,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
40,63,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
41,64,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
42,65,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
43,66,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
44,67,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
45,68,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
46,69,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
47,70,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
48,71,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
49,72,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
50,73,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
51,74,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
52,75,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
53,76,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
54,77,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
55,78,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
56,79,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,salt_conc_x_weighted_permittivity,28.73,3,clustered,6,0.8272216575775623,False
57,106,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
58,107,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
59,108,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
60,109,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
61,110,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
62,111,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
63,112,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
64,113,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
65,114,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
66,115,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
67,116,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
68,117,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
69,118,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
70,119,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.100+DMC:0.900,salt_conc_x_weighted_permittivity,11.69,5,clustered,6,0.8272216575775623,False
71,120,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.200+DMC:0.800,salt_conc_x_weighted_permittivity,20.28,3,clustered,6,0.8272216575775623,False
72,121,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.250+DMC:0.750,salt_conc_x_weighted_permittivity,24.575,3,clustered,6,0.8272216575775623,False
73,122,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.300+DMC:0.700,salt_conc_x_weighted_permittivity,28.87,3,clustered,6,0.8272216575775623,False
74,123,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.400+DMC:0.600,salt_conc_x_weighted_permittivity,37.46,1,clustered,6,0.8272216575775623,False
75,124,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
76,125,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.600+DMC:0.400,salt_conc_x_weighted_permittivity,54.64,1,clustered,6,0.8272216575775623,False
77,126,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.700+DMC:0.300,salt_conc_x_weighted_permittivity,63.23,6,clustered,6,0.8272216575775623,False
78,127,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.800+DMC:0.200,salt_conc_x_weighted_permittivity,71.82000000000001,6,clustered,6,0.8272216575775623,False
79,128,10.1016/j.jpowsour.2011.07.071,TFSI,EC:1.000,salt_conc_x_weighted_permittivity,89.0,2,clustered,6,0.8272216575775623,False
80,129,10.1016/j.jpowsour.2011.07.071,TFSI,DMC:1.000,salt_conc_x_weighted_permittivity,3.1,5,clustered,6,0.8272216575775623,False
81,130,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
82,131,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
83,132,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
84,133,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
85,134,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
86,135,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
87,136,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
88,137,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
89,138,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
90,139,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
91,140,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
92,141,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
93,142,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
94,143,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
95,144,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
96,145,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
97,146,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
98,147,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
99,148,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
100,149,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
101,150,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
102,151,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
103,152,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
104,153,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
105,154,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
106,155,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
107,156,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
108,157,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
109,158,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
110,159,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
111,160,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
112,161,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
113,162,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
114,163,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
115,164,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
116,165,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
117,166,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
118,167,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
119,168,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
120,169,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
121,170,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
