model,n_folds,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
shallow_random_forest,5,0.032565079365079484,0.010017072028726497,0.03725564826083618,0.014930737272880162,0.17034549947869831,0.6470330686916156
small_tree,5,0.04291666666666667,0.017853571071357113,0.05127244576384765,0.018341594346486863,-0.4311455722639925,0.8425545062744193
linear_regression,5,0.04457109484140646,0.020266636995809422,0.053101655446249216,0.0282298553535791,-0.717192226608687,1.232879667095561
ridge,5,0.04475207854360098,0.015771504848646943,0.05333966839020132,0.02512552323300115,-0.47511971699070654,0.9776626500454232
lasso,5,0.048108361525161646,0.019813293114703073,0.05639217647518263,0.02430350932996445,-0.6024453381972099,0.8574849344185765
mean_baseline,5,0.06060101010101014,0.012247140472372577,0.06919986751074222,0.014182386805468017,-2.038344158529166,2.6451765788225323
