job_id,collection_status,anion_name,cation_name,salt_conc,solvents,solvent_fracs,temperature,q_scale,system_identifier,folder_name,output_file
saltBF4_rank03_row13793_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",213.15,0.75,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13793",Li_BF4_1p0M_EC0p5PC0p5_T213p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T213p15_q075/output_LELiB_MDLab.txt
saltBF4_rank03_row13793_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",213.15,0.8,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13793",Li_BF4_1p0M_EC0p5PC0p5_T213p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T213p15_q080/output_LELiB_MDLab.txt
saltBF4_rank03_row13793_q0p85,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",213.15,0.85,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 213.15 | 13793",Li_BF4_1p0M_EC0p5PC0p5_T213p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T213p15_q085/output_LELiB_MDLab.txt
saltBF4_rank04_row70_q0p70,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,0.7,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.6559387 | 70",Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q070/output_LELiB_MDLab.txt
saltBF4_rank04_row70_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,0.75,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.6559387 | 70",Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q075/output_LELiB_MDLab.txt
saltBF4_rank04_row70_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,0.8,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.6559387 | 70",Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q080/output_LELiB_MDLab.txt
saltBF4_rank04_row70_q0p85,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,0.85,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 332.6559387 | 70",Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T332p6559387_q085/output_LELiB_MDLab.txt
saltBF4_rank05_row13814_q0p70,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",293.15,0.7,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 293.15 | 13814",Li_BF4_1p0M_EC0p5PC0p5_T293p15_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T293p15_q070/output_LELiB_MDLab.txt
saltBF4_rank05_row13814_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",293.15,0.75,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 293.15 | 13814",Li_BF4_1p0M_EC0p5PC0p5_T293p15_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T293p15_q075/output_LELiB_MDLab.txt
saltBF4_rank05_row13814_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",293.15,0.8,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 293.15 | 13814",Li_BF4_1p0M_EC0p5PC0p5_T293p15_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T293p15_q080/output_LELiB_MDLab.txt
saltBF4_rank05_row13814_q0p85,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""PC""]","[0.5,0.5]",293.15,0.85,"Li | BF4 | 1.0 | [""EC"",""PC""] | [0.5,0.5] | 293.15 | 13814",Li_BF4_1p0M_EC0p5PC0p5_T293p15_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p5PC0p5_T293p15_q085/output_LELiB_MDLab.txt
saltBF4_rank06_row4375_q0p70,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",222.4457746,0.7,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.4457746 | 4375",Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q070,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q070/output_LELiB_MDLab.txt
saltBF4_rank06_row4375_q0p75,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",222.4457746,0.75,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.4457746 | 4375",Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q075,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q075/output_LELiB_MDLab.txt
saltBF4_rank06_row4375_q0p80,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",222.4457746,0.8,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.4457746 | 4375",Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q080,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q080/output_LELiB_MDLab.txt
saltBF4_rank06_row4375_q0p85,conductivity_line_not_found,BF4,Li,1.0,"[""EC"",""EMC""]","[0.3,0.7]",222.4457746,0.85,"Li | BF4 | 1.0 | [""EC"",""EMC""] | [0.3,0.7] | 222.4457746 | 4375",Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q085,/scratch/hacortes/ADOBADO/LELi-MDLab/solvents/Q_Optimization/Li_BF4_1p0M_EC0p3EMC0p7_T222p4457746_q085/output_LELiB_MDLab.txt
