method_name,model_type,number_of_systems,number_of_folds,MAE,RMSE,median_absolute_error,exact_qscale_accuracy,within_one_step_accuracy,macro_F1,balanced_accuracy,notes
Extra Trees Classifier,classification,75,5,0.03866666666666667,0.05773502691896259,0.04999999999999993,0.4533333333333333,0.8266666666666667,0.4554240514151527,0.4613492063492064,classification predicts discrete q_scale classes; no snapping needed
Random Forest Classifier,classification,75,5,0.039333333333333345,0.06137317546507324,0.04999999999999993,0.48,0.8266666666666667,0.4754060879060879,0.478015873015873,classification predicts discrete q_scale classes; no snapping needed
Gradient Boosting Classifier,classification,75,5,0.040000000000000015,0.06055300708194985,0.04999999999999993,0.4666666666666667,0.8,0.4467509004094369,0.45,classification predicts discrete q_scale classes; no snapping needed
Extra Trees Regressor,regression,75,5,0.04066666666666666,0.05686240703077328,0.050000000000000044,0.38666666666666666,0.84,,,continuous predictions snapped to nearest available q_scale for final comparison
Random Forest Regressor,regression,75,5,0.041333333333333326,0.05537749241945384,0.04999999999999993,0.3466666666666667,0.8533333333333334,,,continuous predictions snapped to nearest available q_scale for final comparison
Gradient Boosting Regressor,regression,75,5,0.04266666666666667,0.05715476066494083,0.04999999999999993,0.3333333333333333,0.8533333333333334,,,continuous predictions snapped to nearest available q_scale for final comparison
Multinomial Logistic Regression,classification,75,5,0.04400000000000001,0.06582805886043834,0.050000000000000044,0.44,0.7866666666666666,0.4393065268065269,0.4365476190476191,classification predicts discrete q_scale classes; no snapping needed
Ridge Regression,regression,75,5,0.044666666666666674,0.05972157622389641,0.050000000000000044,0.3333333333333333,0.8133333333333334,,,continuous predictions snapped to nearest available q_scale for final comparison
Elastic Net Regression,regression,75,5,0.05266666666666668,0.06506407098647714,0.050000000000000044,0.24,0.7333333333333333,,,continuous predictions snapped to nearest available q_scale for final comparison
