model,target_transform,n_folds,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,cv_transformed_mae_mean,cv_transformed_mae_std,cv_transformed_rmse_mean,cv_transformed_rmse_std,cv_transformed_r2_mean,cv_transformed_r2_std
extra_trees,log1p,5,3.9196712292446803,3.2955181395460738,4.883180934488783,4.3698234676344185,0.26265662153102887,0.6167355826042036,0.514709820679913,0.2291082483547576,0.6143270158125047,0.2739135318194023,0.17197137261324616,0.6159533209924678
gradient_boosting,log1p,5,4.152921610517152,2.4350446981437273,5.304457925757331,3.4903909326377147,-0.10429174147320142,0.6005108774965675,0.6075567922387515,0.08550737699766624,0.7350753201706638,0.11066059652243028,-1.069902044765773,2.2671242500116064
gradient_boosting,raw,5,4.7669076277580675,2.3203543329706013,5.712237890805442,3.1240038126621945,-0.3539526293332496,0.902126963005808,4.7669076277580675,2.3203543329706013,5.712237890805442,3.1240038126621945,-0.3539526293332496,0.902126963005808
extra_trees,raw,5,4.780056606666664,2.6176980674844343,5.7407076068339045,3.6062527499217594,-0.29492862095503625,0.7829030572323692,4.780056606666664,2.6176980674844343,5.7407076068339045,3.6062527499217594,-0.29492862095503625,0.7829030572323692
random_forest,raw,5,5.016840923399424,2.163564502262658,5.804058734571415,3.0125981591171276,-0.3938622522153333,0.9140252900590542,5.016840923399424,2.163564502262658,5.804058734571415,3.0125981591171276,-0.3938622522153333,0.9140252900590542
ridge,log1p,5,4.521240470381384,2.478639188226516,5.907152008563943,3.1358491636383774,-3.2294229534360817,6.976818552709714,0.6020299274790905,0.5239657878269353,0.6733062763503996,0.5601320377197756,-0.7047425500001291,2.1819931105366255
gaussian_process,log1p,5,5.2004348771773845,3.196606638599698,6.023801421941475,3.8591645653896096,-1.319576444581181,3.0408528436438527,0.6671461395829402,0.38821151385840424,0.7272503015565135,0.39353708126787573,-0.6351039586414433,1.7420483556698512
random_forest,log1p,5,5.044184168693333,2.325336840394949,6.1705883960583705,3.449708561543076,-0.5146347223831079,0.7549512975403164,0.7791075005771831,0.14882044789173451,0.9355094563786664,0.11423935303204723,-2.0621317339700274,2.6614423834239687
gaussian_process,raw,5,10.304880544454736,2.225420618802111,11.797590095107191,2.4634294030348087,-10.456677601922085,11.009258451938392,10.304880544454736,2.225420618802111,11.797590095107191,2.4634294030348087,-10.456677601922085,11.009258451938392
ridge,raw,5,15.520773756269435,11.176405484557359,16.781345312063337,10.709577294616977,-10.971114006971584,6.430685980870859,15.520773756269435,11.176405484557359,16.781345312063337,10.709577294616977,-10.971114006971584,6.430685980870859
