doi,conductivity_mScm,temperature_K,concentration_molkg,salt,EC,PC,DMC,EMC,DEC,DME
10.1007/s10008-002-0300-9,0.160642894,333.2350339,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.150856146,322.7649243,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.14166563,313.8017217,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.13227699,303.681806,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.119347689,293.0497925,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.110171803,283.4922228,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.098273586,273.5415154,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.0856794,263.3418784,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.072181505,253.3064335,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.058092757,243.4820082,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.043159309,233.6641853,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.030807411,223.4968354,1.0,PF6,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.092815386,332.7444052,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.089687079,322.7649243,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.085191199,313.3666112,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.082791608,303.681806,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.077747746,293.0497925,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.072595152,283.4922228,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.065126186,273.2108317,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.056779983,263.3418784,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.045697381,253.3064335,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.036360011,243.7446074,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1007/s10008-002-0300-9,0.025367519,233.4228465,1.0,BF4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0
10.1016/S0378-7753(03)00153-8,0.495652174,233.15,0.311764706,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.506521739,233.15,0.388235294,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.502173913,233.15,0.458823529,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.47173913,233.15,0.547058824,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.42173913,233.15,0.652941176,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.354347826,233.15,0.764705882,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.276086957,233.15,0.894117647,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.186956522,233.15,1.052941176,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.108695652,233.15,1.223529412,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.047826087,233.15,1.447058824,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.015217391,233.15,1.688235294,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,0.004347826,233.15,1.905882353,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,1.11e-16,233.15,2.123529412,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,1.11e-16,233.15,2.311764706,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,4.615384615,293.15,0.311764706,PF6,0.0,0.9,0.0,0.0,0.1,0.0
10.1016/S0378-7753(03)00153-8,5.179487179,293.15,0.388235294,PF6,0.0,0.9,0.0,0.0,0.1,0.0
