k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,status
2,0.8354081368291951,2366.0119936516553,0.22363170527215806,evaluated
3,0.8672047703501281,7317.940285181604,0.16484631945002307,evaluated
4,0.8936794608731023,11877.480091787078,0.11239323445042354,evaluated
5,0.9009203533880955,27935.287886935508,0.12445627588237893,evaluated
6,0.9418687614394182,32053.009083869416,0.10468913598215633,evaluated
