cluster_id,q_scale,predicted_conductivity_ms_cm,weighted_permittivity
1,0.7,7.0557721910699485,48.19749999999999
1,0.705,6.942743913103845,48.19749999999999
1,0.71,6.831301503173349,48.19749999999999
1,0.715,6.721422710409291,48.19749999999999
1,0.72,6.613085596138188,48.19749999999999
1,0.725,6.506268529501928,48.19749999999999
1,0.73,6.400950183138896,48.19749999999999
1,0.735,6.297109528925708,48.19749999999999
1,0.74,6.1947258337786675,48.19749999999999
1,0.745,6.0937786555141535,48.19749999999999
1,0.75,5.994247838767091,48.19749999999999
1,0.755,5.896113510966667,48.19749999999999
1,0.76,5.799356078368536,48.19749999999999
1,0.765,5.703956222142676,48.19749999999999
1,0.77,5.609894894516143,48.19749999999999
1,0.775,5.517153314969953,48.19749999999999
1,0.78,5.425712966489306,48.19749999999999
1,0.785,5.33555559186644,48.19749999999999
1,0.79,5.246663190055351,48.19749999999999
1,0.7949999999999999,5.159018012577658,48.19749999999999
1,0.8,5.072602559978888,48.19749999999999
1,0.8049999999999999,4.987399578334519,48.19749999999999
1,0.81,4.9033920558049795,48.19749999999999
1,0.815,4.820563219239061,48.19749999999999
1,0.8200000000000001,4.738896530824915,48.19749999999999
1,0.825,4.658375684788103,48.19749999999999
1,0.8300000000000001,4.578984604135915,48.19749999999999
1,0.835,4.500707437447426,48.19749999999999
1,0.84,4.423528555708537,48.19749999999999
1,0.845,4.347432549191462,48.19749999999999
1,0.85,4.272404224377981,48.19749999999999
1,0.855,4.198428600925859,48.19749999999999
1,0.86,4.1254909086778415,48.19749999999999
1,0.865,4.0535765847126015,48.19749999999999
1,0.87,3.9826712704370717,48.19749999999999
1,0.875,3.912760808719573,48.19749999999999
1,0.88,3.843831241063168,48.19749999999999
1,0.885,3.775868804818671,48.19749999999999
1,0.89,3.70885993043676,48.19749999999999
1,0.895,3.6427912387586554,48.19749999999999
1,0.9,3.577649538344792,48.19749999999999
2,0.7,6.5100138483534415,9.444999999999999
2,0.705,6.4046429524731,9.444999999999999
2,0.71,6.300750486050123,9.444999999999999
2,0.715,6.198315705655863,9.444999999999999
2,0.72,6.097318158906891,9.444999999999999
2,0.725,5.9977376803814355,9.444999999999999
2,0.73,5.899554387593089,9.444999999999999
2,0.735,5.802748677021035,9.444999999999999
2,0.74,5.707301220195948,9.444999999999999
2,0.745,5.613192959840834,9.444999999999999
2,0.75,5.520405106066,9.444999999999999
2,0.755,5.428919132617419,9.444999999999999
2,0.76,5.338716773177738,9.444999999999999
2,0.765,5.249780017719168,9.444999999999999
2,0.77,5.162091108907566,9.444999999999999
2,0.775,5.0756325385569605,9.444999999999999
2,0.78,4.990387044133823,9.444999999999999
2,0.785,4.906337605310382,9.444999999999999
2,0.79,4.823467440566311,9.444999999999999
2,0.7949999999999999,4.741760003838083,9.444999999999999
2,0.8,4.661198981215335,9.444999999999999
2,0.8049999999999999,4.581768287683616,9.444999999999999
2,0.81,4.503452063912781,9.444999999999999
2,0.815,4.426234673090508,9.444999999999999
2,0.8200000000000001,4.350100697800183,9.444999999999999
2,0.825,4.275034936942654,9.444999999999999
2,0.8300000000000001,4.201022402701105,9.444999999999999
2,0.835,4.128048317548588,9.444999999999999
2,0.84,4.05609811129747,9.444999999999999
2,0.845,3.9851574181903433,9.444999999999999
2,0.85,3.9152120740317007,9.444999999999999
2,0.855,3.8462481133598914,9.444999999999999
2,0.86,3.7782517666587316,9.444999999999999
2,0.865,3.7112094576082564,9.444999999999999
2,0.87,3.6451078003740345,9.444999999999999
2,0.875,3.5799335969345183,9.444999999999999
2,0.88,3.5156738344458938,9.444999999999999
2,0.885,3.452315682643909,9.444999999999999
2,0.89,3.389846491282146,9.444999999999999
2,0.895,3.3282537876062417,9.444999999999999
2,0.9,3.2675252738635474,9.444999999999999
3,0.7,7.290522201704416,64.06500000000001
3,0.705,7.1742002122448385,64.06500000000001
3,0.71,7.059510303962128,64.06500000000001
3,0.715,6.946429577583505,64.06500000000001
3,0.72,6.834935455129443,64.06500000000001
3,0.725,6.725005675405716,64.06500000000001
3,0.73,6.616618289558656,64.06500000000001
3,0.735,6.509751656692813,64.06500000000001
3,0.74,6.404384439550052,64.06500000000001
3,0.745,6.30049560024932,64.06500000000001
3,0.75,6.198064396086172,64.06500000000001
3,0.755,6.097070375391219,64.06500000000001
3,0.76,5.997493373446707,64.06500000000001
3,0.765,5.899313508460373,64.06500000000001
3,0.77,5.802511177595802,64.06500000000001
3,0.775,5.7070670530584735,64.06500000000001
3,0.78,5.612962078236724,64.06500000000001
3,0.785,5.520177463896857,64.06500000000001
3,0.79,5.428694684431641,64.06500000000001
3,0.7949999999999999,5.3384954741614425,64.06500000000001
3,0.8,5.2495618236872374,64.06500000000001
3,0.8049999999999999,5.1618759762948425,64.06500000000001
3,0.81,5.075420424409527,64.06500000000001
3,0.815,4.990177906100444,64.06500000000001
3,0.8200000000000001,4.906131401634032,64.06500000000001
3,0.825,4.823264130075854,64.06500000000001
3,0.8300000000000001,4.741559545940033,64.06500000000001
3,0.835,4.661001335885779,64.06500000000001
3,0.84,4.5815734154601895,64.06500000000001
3,0.845,4.5032599258868125,64.06500000000001
3,0.85,4.426045230899238,64.06500000000001
3,0.855,4.349913913619115,64.06500000000001
3,0.86,4.274850773477988,64.06500000000001
3,0.865,4.200840823182311,64.06500000000001
3,0.87,4.127869285721042,64.06500000000001
3,0.875,4.055921591415235,64.06500000000001
3,0.88,3.984983375009016,64.06500000000001
3,0.885,3.9150404728013894,64.06500000000001
3,0.89,3.8460789198182646,64.06500000000001
3,0.895,3.7780849470241877,64.06500000000001
3,0.9,3.7110449785731703,64.06500000000001
4,0.7,6.737271051591344,25.91333333333334
4,0.705,6.628711573694515,25.91333333333334
4,0.71,6.521675263354131,25.91333333333334
4,0.715,6.416140749433841,25.91333333333334
4,0.72,6.312086960649699,25.91333333333334
4,0.725,6.20949312136303,25.91333333333334
4,0.73,6.108338747432317,25.91333333333334
4,0.735,6.0086036421232745,25.91333333333334
4,0.74,5.910267892076334,25.91333333333334
4,0.745,5.813311863330675,25.91333333333334
4,0.75,5.717716197404078,25.91333333333334
4,0.755,5.623461807427747,25.91333333333334
4,0.76,5.530529874335386,25.91333333333334
4,0.765,5.438901843105732,25.91333333333334
4,0.77,5.348559419057819,25.91333333333334
4,0.775,5.259484564198216,25.91333333333334
4,0.78,5.1716594936195035,25.91333333333334
4,0.785,5.085066671949317,25.91333333333334
4,0.79,4.99968880984917,25.91333333333334
4,0.7949999999999999,4.915508860562437,25.91333333333334
4,0.8,4.8325100165107395,25.91333333333334
4,0.8049999999999999,4.750675705938125,25.91333333333334
4,0.81,4.669989589602283,25.91333333333334
4,0.815,4.590435557512238,25.91333333333334
4,0.8200000000000001,4.511997725711762,25.91333333333334
4,0.825,4.434660433107969,25.91333333333334
4,0.8300000000000001,4.35840823834436,25.91333333333334
4,0.835,4.283225916717786,25.91333333333334
4,0.84,4.209098457138621,25.91333333333334
4,0.845,4.136011059133629,25.91333333333334
4,0.85,4.063949129890862,25.91333333333334
4,0.855,3.992898281346012,25.91333333333334
4,0.86,3.9228443273096687,25.91333333333334
4,0.865,3.8537732806348606,25.91333333333334
4,0.87,3.785671350424347,25.91333333333334
4,0.875,3.7185249392770943,25.91333333333334
4,0.88,3.6523206405733872,25.91333333333334
4,0.885,3.5870452357980285,25.91333333333334
4,0.89,3.522685691901093,25.91333333333334
4,0.895,3.4592291586957247,25.91333333333334
4,0.9,3.396662966292426,25.91333333333334
5,0.7,7.486171714565667,76.95
5,0.705,7.367104621719457,76.95
5,0.71,7.249708125825055,76.95
5,0.715,7.133958787205646,76.95
5,0.72,7.01983349505994,76.95
5,0.725,6.907309462847815,76.95
5,0.73,6.796364223740689,76.95
5,0.735,6.686975626135758,76.95
5,0.74,6.579121829233125,76.95
5,0.745,6.472781298675026,76.95
5,0.75,6.367932802246237,76.95
5,0.755,6.264555405634771,76.95
5,0.76,6.162628468252098,76.95
5,0.765,6.062131639111999,76.95
5,0.77,5.963044852767218,76.95
5,0.775,5.865348325303165,76.95
5,0.78,5.769022550387795,76.95
5,0.785,5.674048295376937,76.95
5,0.79,5.580406597474246,76.95
5,0.7949999999999999,5.488078759945054,76.95
5,0.8,5.397046348383318,76.95
