k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,status
2,0.669666460274255,1008.6260735817134,0.6139167709874517,evaluated
3,0.7817807208311518,1573.309736327588,0.3548424534351351,evaluated
4,0.9268346273511014,7838.315719773641,0.15135773010102144,evaluated
5,0.9504268885656288,24510.44261743859,0.09996983550635045,evaluated
6,0.9620744113090066,31674.601263707395,0.11336927217127792,evaluated
